hair_id,结构,质感,时期,描述
HR0197,盘发,风吹感,少年,少年期·盘发·风吹感
HR0198,盘发,风吹感,成年,成年期·盘发·风吹感
HR0199,盘发,风吹感,黑化,黑化期·盘发·风吹感
HR0200,盘发,风吹感,战后,战后期·盘发·风吹感
HR0201,盘发,战损感,少年,少年期·盘发·战损感
HR0202,盘发,战损感,成年,成年期·盘发·战损感
HR0203,盘发,战损感,黑化,黑化期·盘发·战损感
HR0204,盘发,战损感,战后,战后期·盘发·战损感
HR0205,盘发,干枯,少年,少年期·盘发·干枯
HR0206,盘发,干枯,成年,成年期·盘发·干枯
HR0207,盘发,干枯,黑化,黑化期·盘发·干枯
HR0208,盘发,干枯,战后,战后期·盘发·干枯
HR0209,盘发,油亮,少年,少年期·盘发·油亮
HR0210,盘发,油亮,成年,成年期·盘发·油亮
HR0211,盘发,油亮,黑化,黑化期·盘发·油亮
HR0212,盘发,油亮,战后,战后期·盘发·油亮
HR0213,盘发,毛躁,少年,少年期·盘发·毛躁
HR0214,盘发,毛躁,成年,成年期·盘发·毛躁
HR0215,盘发,毛躁,黑化,黑化期·盘发·毛躁
HR0216,盘发,毛躁,战后,战后期·盘发·毛躁
HR0217,双层结构,柔顺,少年,少年期·双层结构·柔顺
HR0218,双层结构,柔顺,成年,成年期·双层结构·柔顺
HR0219,双层结构,柔顺,黑化,黑化期·双层结构·柔顺
HR0220,双层结构,柔顺,战后,战后期·双层结构·柔顺
HR0221,双层结构,厚重,少年,少年期·双层结构·厚重
HR0222,双层结构,厚重,成年,成年期·双层结构·厚重
HR0223,双层结构,厚重,黑化,黑化期·双层结构·厚重
HR0224,双层结构,厚重,战后,战后期·双层结构·厚重
HR0225,双层结构,凌乱,少年,少年期·双层结构·凌乱
HR0226,双层结构,凌乱,成年,成年期·双层结构·凌乱
HR0227,双层结构,凌乱,黑化,黑化期·双层结构·凌乱
HR0228,双层结构,凌乱,战后,战后期·双层结构·凌乱
HR0229,双层结构,湿润,少年,少年期·双层结构·湿润
HR0230,双层结构,湿润,成年,成年期·双层结构·湿润
HR0231,双层结构,湿润,黑化,黑化期·双层结构·湿润
HR0232,双层结构,湿润,战后,战后期·双层结构·湿润
HR0233,双层结构,风吹感,少年,少年期·双层结构·风吹感
HR0234,双层结构,风吹感,成年,成年期·双层结构·风吹感
HR0235,双层结构,风吹感,黑化,黑化期·双层结构·风吹感
HR0236,双层结构,风吹感,战后,战后期·双层结构·风吹感
HR0237,双层结构,战损感,少年,少年期·双层结构·战损感
HR0238,双层结构,战损感,成年,成年期·双层结构·战损感
HR0239,双层结构,战损感,黑化,黑化期·双层结构·战损感
HR0240,双层结构,战损感,战后,战后期·双层结构·战损感
HR0241,双层结构,干枯,少年,少年期·双层结构·干枯
HR0242,双层结构,干枯,成年,成年期·双层结构·干枯
HR0243,双层结构,干枯,黑化,黑化期·双层结构·干枯
HR0244,双层结构,干枯,战后,战后期·双层结构·干枯
HR0245,双层结构,油亮,少年,少年期·双层结构·油亮
HR0246,双层结构,油亮,成年,成年期·双层结构·油亮
HR0247,双层结构,油亮,黑化,黑化期·双层结构·油亮
HR0248,双层结构,油亮,战后,战后期·双层结构·油亮
HR0249,双层结构,毛躁,少年,少年期·双层结构·毛躁
HR0250,双层结构,毛躁,成年,成年期·双层结构·毛躁
HR0251,双层结构,毛躁,黑化,黑化期·双层结构·毛躁
HR0252,双层结构,毛躁,战后,战后期·双层结构·毛躁
HR0253,不对称发型,柔顺,少年,少年期·不对称发型·柔顺
HR0254,不对称发型,柔顺,成年,成年期·不对称发型·柔顺
HR0255,不对称发型,柔顺,黑化,黑化期·不对称发型·柔顺
HR0256,不对称发型,柔顺,战后,战后期·不对称发型·柔顺
HR0257,不对称发型,厚重,少年,少年期·不对称发型·厚重
HR0258,不对称发型,厚重,成年,成年期·不对称发型·厚重
HR0259,不对称发型,厚重,黑化,黑化期·不对称发型·厚重
HR0260,不对称发型,厚重,战后,战后期·不对称发型·厚重
HR0261,不对称发型,凌乱,少年,少年期·不对称发型·凌乱
HR0262,不对称发型,凌乱,成年,成年期·不对称发型·凌乱
HR0263,不对称发型,凌乱,黑化,黑化期·不对称发型·凌乱
HR0264,不对称发型,凌乱,战后,战后期·不对称发型·凌乱
HR0265,不对称发型,湿润,少年,少年期·不对称发型·湿润
HR0266,不对称发型,湿润,成年,成年期·不对称发型·湿润
HR0267,不对称发型,湿润,黑化,黑化期·不对称发型·湿润
HR0268,不对称发型,湿润,战后,战后期·不对称发型·湿润
HR0269,不对称发型,风吹感,少年,少年期·不对称发型·风吹感
HR0270,不对称发型,风吹感,成年,成年期·不对称发型·风吹感
HR0271,不对称发型,风吹感,黑化,黑化期·不对称发型·风吹感
HR0272,不对称发型,风吹感,战后,战后期·不对称发型·风吹感
HR0273,不对称发型,战损感,少年,少年期·不对称发型·战损感
HR0274,不对称发型,战损感,成年,成年期·不对称发型·战损感
HR0275,不对称发型,战损感,黑化,黑化期·不对称发型·战损感
HR0276,不对称发型,战损感,战后,战后期·不对称发型·战损感
HR0277,不对称发型,干枯,少年,少年期·不对称发型·干枯
HR0278,不对称发型,干枯,成年,成年期·不对称发型·干枯
HR0279,不对称发型,干枯,黑化,黑化期·不对称发型·干枯
HR0280,不对称发型,干枯,战后,战后期·不对称发型·干枯
HR0281,不对称发型,油亮,少年,少年期·不对称发型·油亮
HR0282,不对称发型,油亮,成年,成年期·不对称发型·油亮
HR0283,不对称发型,油亮,黑化,黑化期·不对称发型·油亮
HR0284,不对称发型,油亮,战后,战后期·不对称发型·油亮
HR0285,不对称发型,毛躁,少年,少年期·不对称发型·毛躁
HR0286,不对称发型,毛躁,成年,成年期·不对称发型·毛躁
HR0287,不对称发型,毛躁,黑化,黑化期·不对称发型·毛躁
HR0288,不对称发型,毛躁,战后,战后期·不对称发型·毛躁
HR0289,短削,柔顺,少年,少年期·短削·柔顺
HR0290,短削,柔顺,成年,成年期·短削·柔顺
HR0291,短削,柔顺,黑化,黑化期·短削·柔顺
HR0292,短削,柔顺,战后,战后期·短削·柔顺
HR0293,短削,厚重,少年,少年期·短削·厚重
HR0294,短削,厚重,成年,成年期·短削·厚重
HR0295,短削,厚重,黑化,黑化期·短削·厚重
HR0296,短削,厚重,战后,战后期·短削·厚重
HR0297,短削,凌乱,少年,少年期·短削·凌乱
HR0298,短削,凌乱,成年,成年期·短削·凌乱
HR0299,短削,凌乱,黑化,黑化期·短削·凌乱
HR0300,短削,凌乱,战后,战后期·短削·凌乱
HR0301,短削,湿润,少年,少年期·短削·湿润
HR0302,短削,湿润,成年,成年期·短削·湿润
HR0303,短削,湿润,黑化,黑化期·短削·湿润
HR0304,短削,湿润,战后,战后期·短削·湿润
HR0305,短削,风吹感,少年,少年期·短削·风吹感
HR0306,短削,风吹感,成年,成年期·短削·风吹感
HR0307,短削,风吹感,黑化,黑化期·短削·风吹感
HR0308,短削,风吹感,战后,战后期·短削·风吹感
HR0309,短削,战损感,少年,少年期·短削·战损感
HR0310,短削,战损感,成年,成年期·短削·战损感
HR0311,短削,战损感,黑化,黑化期·短削·战损感
HR0312,短削,战损感,战后,战后期·短削·战损感
HR0313,短削,干枯,少年,少年期·短削·干枯
HR0314,短削,干枯,成年,成年期·短削·干枯
HR0315,短削,干枯,黑化,黑化期·短削·干枯
HR0316,短削,干枯,战后,战后期·短削·干枯
HR0317,短削,油亮,少年,少年期·短削·油亮
HR0318,短削,油亮,成年,成年期·短削·油亮
HR0319,短削,油亮,黑化,黑化期·短削·油亮
HR0320,短削,油亮,战后,战后期·短削·油亮
HR0321,短削,毛躁,少年,少年期·短削·毛躁
HR0322,短削,毛躁,成年,成年期·短削·毛躁
HR0323,短削,毛躁,黑化,黑化期·短削·毛躁
HR0324,短削,毛躁,战后,战后期·短削·毛躁
HR0325,中长直落,柔顺,少年,少年期·中长直落·柔顺
HR0326,中长直落,柔顺,成年,成年期·中长直落·柔顺
HR0327,中长直落,柔顺,黑化,黑化期·中长直落·柔顺
HR0328,中长直落,柔顺,战后,战后期·中长直落·柔顺
HR0329,中长直落,厚重,少年,少年期·中长直落·厚重
HR0330,中长直落,厚重,成年,成年期·中长直落·厚重
HR0331,中长直落,厚重,黑化,黑化期·中长直落·厚重
HR0332,中长直落,厚重,战后,战后期·中长直落·厚重
HR0333,中长直落,凌乱,少年,少年期·中长直落·凌乱
HR0334,中长直落,凌乱,成年,成年期·中长直落·凌乱
HR0335,中长直落,凌乱,黑化,黑化期·中长直落·凌乱
HR0336,中长直落,凌乱,战后,战后期·中长直落·凌乱
HR0337,中长直落,湿润,少年,少年期·中长直落·湿润
HR0338,中长直落,湿润,成年,成年期·中长直落·湿润
HR0339,中长直落,湿润,黑化,黑化期·中长直落·湿润
HR0340,中长直落,湿润,战后,战后期·中长直落·湿润
HR0341,中长直落,风吹感,少年,少年期·中长直落·风吹感
HR0342,中长直落,风吹感,成年,成年期·中长直落·风吹感
HR0343,中长直落,风吹感,黑化,黑化期·中长直落·风吹感
HR0344,中长直落,风吹感,战后,战后期·中长直落·风吹感
HR0345,中长直落,战损感,少年,少年期·中长直落·战损感
HR0346,中长直落,战损感,成年,成年期·中长直落·战损感
HR0347,中长直落,战损感,黑化,黑化期·中长直落·战损感
HR0348,中长直落,战损感,战后,战后期·中长直落·战损感
HR0349,中长直落,干枯,少年,少年期·中长直落·干枯
HR0350,中长直落,干枯,成年,成年期·中长直落·干枯
HR0351,中长直落,干枯,黑化,黑化期·中长直落·干枯
HR0352,中长直落,干枯,战后,战后期·中长直落·干枯
HR0353,中长直落,油亮,少年,少年期·中长直落·油亮
HR0354,中长直落,油亮,成年,成年期·中长直落·油亮
HR0355,中长直落,油亮,黑化,黑化期·中长直落·油亮
HR0356,中长直落,油亮,战后,战后期·中长直落·油亮
HR0357,中长直落,毛躁,少年,少年期·中长直落·毛躁
HR0358,中长直落,毛躁,成年,成年期·中长直落·毛躁
HR0359,中长直落,毛躁,黑化,黑化期·中长直落·毛躁
HR0360,中长直落,毛躁,战后,战后期·中长直落·毛躁
