ability_id,机制,来源,媒介,接触方式,结果,一句话
AB0107,重构,血脉,雷,范围笼罩,交换位置,以血脉为源、雷为媒介：重构；范围笼罩 → 交换位置
AB0108,吞噬,异化,气,媒介传导,吸收结构,以异化为源、气为媒介：吞噬；媒介传导 → 吸收结构
AB0109,回响,异化,雾,视线锁定,改变身体规则,以异化为源、雾为媒介：回响；视线锁定 → 改变身体规则
AB0110,错位,天授,尘,视线锁定,交换位置,以天授为源、尘为媒介：错位；视线锁定 → 交换位置
AB0111,分解,异化,光,接触命中,剥夺行动,以异化为源、光为媒介：分解；接触命中 → 剥夺行动
AB0112,方向改变,功法,丝,视线锁定,制造错误感知,以功法为源、丝为媒介：方向改变；视线锁定 → 制造错误感知
AB0113,错位,天授,雾,媒介传导,限制变化,以天授为源、雾为媒介：错位；媒介传导 → 限制变化
AB0114,复制,器物,影,地面蔓延,吸收结构,以器物为源、影为媒介：复制；地面蔓延 → 吸收结构
AB0115,加速,功法,雾,媒介传导,限制变化,以功法为源、雾为媒介：加速；媒介传导 → 限制变化
AB0116,转移,异化,雾,媒介传导,剥夺行动,以异化为源、雾为媒介：转移；媒介传导 → 剥夺行动
AB0117,加速,共鸣,雾,接触命中,交换位置,以共鸣为源、雾为媒介：加速；接触命中 → 交换位置
AB0118,空间连接,共鸣,尘,媒介传导,造成位移,以共鸣为源、尘为媒介：空间连接；媒介传导 → 造成位移
AB0119,记录,血脉,影,范围笼罩,剥夺行动,以血脉为源、影为媒介：记录；范围笼罩 → 剥夺行动
AB0120,共振,残缺体质,气,视线锁定,剥夺行动,以残缺体质为源、气为媒介：共振；视线锁定 → 剥夺行动
AB0121,共生,血脉,雷,地面蔓延,吸收结构,以血脉为源、雷为媒介：共生；地面蔓延 → 吸收结构
AB0122,记录,功法,血,接触命中,造成位移,以功法为源、血为媒介：记录；接触命中 → 造成位移
AB0123,共振,器物,纹,范围笼罩,标记目标,以器物为源、纹为媒介：共振；范围笼罩 → 标记目标
AB0124,强化,血脉,纹,媒介传导,交换位置,以血脉为源、纹为媒介：强化；媒介传导 → 交换位置
AB0125,转移,器物,血,范围笼罩,改变因果顺序,以器物为源、血为媒介：转移；范围笼罩 → 改变因果顺序
AB0126,强化,天授,纹,范围笼罩,复制信息,以天授为源、纹为媒介：强化；范围笼罩 → 复制信息
AB0127,位置改变,天授,雾,接触命中,制造错误感知,以天授为源、雾为媒介：位置改变；接触命中 → 制造错误感知
AB0128,折叠,异化,血,接触命中,改变身体规则,以异化为源、血为媒介：折叠；接触命中 → 改变身体规则
AB0129,记录,血脉,光,视线锁定,限制变化,以血脉为源、光为媒介：记录；视线锁定 → 限制变化
AB0130,吞噬,血脉,丝,范围笼罩,改变身体规则,以血脉为源、丝为媒介：吞噬；范围笼罩 → 改变身体规则
AB0131,冻结,共鸣,血,接触命中,限制变化,以共鸣为源、血为媒介：冻结；接触命中 → 限制变化
AB0132,延迟,残缺体质,血,视线锁定,造成位移,以残缺体质为源、血为媒介：延迟；视线锁定 → 造成位移
AB0133,伪装,器物,影,媒介传导,制造错误感知,以器物为源、影为媒介：伪装；媒介传导 → 制造错误感知
AB0134,嵌套,天授,光,地面蔓延,改变因果顺序,以天授为源、光为媒介：嵌套；地面蔓延 → 改变因果顺序
AB0135,回响,器物,影,接触命中,限制变化,以器物为源、影为媒介：回响；接触命中 → 限制变化
AB0136,状态交换,共鸣,影,视线锁定,吸收结构,以共鸣为源、影为媒介：状态交换；视线锁定 → 吸收结构
AB0137,吞噬,残缺体质,血,范围笼罩,剥夺行动,以残缺体质为源、血为媒介：吞噬；范围笼罩 → 剥夺行动
AB0138,方向改变,契约,雷,接触命中,复制信息,以契约为源、雷为媒介：方向改变；接触命中 → 复制信息
AB0139,冻结,功法,影,范围笼罩,剥夺行动,以功法为源、影为媒介：冻结；范围笼罩 → 剥夺行动
AB0140,位置改变,异化,气,媒介传导,复制信息,以异化为源、气为媒介：位置改变；媒介传导 → 复制信息
AB0141,共生,器物,声,地面蔓延,交换位置,以器物为源、声为媒介：共生；地面蔓延 → 交换位置
AB0142,回响,异化,尘,媒介传导,复制信息,以异化为源、尘为媒介：回响；媒介传导 → 复制信息
AB0143,复制,血脉,尘,媒介传导,造成位移,以血脉为源、尘为媒介：复制；媒介传导 → 造成位移
AB0144,重构,异化,光,范围笼罩,剥夺行动,以异化为源、光为媒介：重构；范围笼罩 → 剥夺行动
AB0145,强化,异化,光,视线锁定,剥夺行动,以异化为源、光为媒介：强化；视线锁定 → 剥夺行动
AB0146,状态交换,残缺体质,声,接触命中,标记目标,以残缺体质为源、声为媒介：状态交换；接触命中 → 标记目标
AB0147,嵌套,器物,声,视线锁定,吸收结构,以器物为源、声为媒介：嵌套；视线锁定 → 吸收结构
AB0148,强化,器物,影,范围笼罩,限制变化,以器物为源、影为媒介：强化；范围笼罩 → 限制变化
AB0149,方向改变,契约,尘,媒介传导,制造错误感知,以契约为源、尘为媒介：方向改变；媒介传导 → 制造错误感知
AB0150,寄生,契约,纹,接触命中,吸收结构,以契约为源、纹为媒介：寄生；接触命中 → 吸收结构
AB0151,共生,契约,丝,接触命中,改变因果顺序,以契约为源、丝为媒介：共生；接触命中 → 改变因果顺序
AB0152,复制,天授,纹,地面蔓延,造成位移,以天授为源、纹为媒介：复制；地面蔓延 → 造成位移
AB0153,回溯,契约,血,地面蔓延,制造错误感知,以契约为源、血为媒介：回溯；地面蔓延 → 制造错误感知
AB0154,削弱,血脉,丝,地面蔓延,限制变化,以血脉为源、丝为媒介：削弱；地面蔓延 → 限制变化
AB0155,寄生,天授,血,媒介传导,改变因果顺序,以天授为源、血为媒介：寄生；媒介传导 → 改变因果顺序
AB0156,锚定,功法,尘,媒介传导,标记目标,以功法为源、尘为媒介：锚定；媒介传导 → 标记目标
AB0157,位置改变,器物,声,地面蔓延,改变因果顺序,以器物为源、声为媒介：位置改变；地面蔓延 → 改变因果顺序
AB0158,分解,异化,尘,地面蔓延,标记目标,以异化为源、尘为媒介：分解；地面蔓延 → 标记目标
AB0159,记录,契约,声,媒介传导,造成位移,以契约为源、声为媒介：记录；媒介传导 → 造成位移
AB0160,回溯,天授,尘,接触命中,标记目标,以天授为源、尘为媒介：回溯；接触命中 → 标记目标
AB0161,回响,共鸣,影,视线锁定,吸收结构,以共鸣为源、影为媒介：回响；视线锁定 → 吸收结构
AB0162,剥离,契约,光,范围笼罩,剥夺行动,以契约为源、光为媒介：剥离；范围笼罩 → 剥夺行动
AB0163,错位,共鸣,声,范围笼罩,制造错误感知,以共鸣为源、声为媒介：错位；范围笼罩 → 制造错误感知
AB0164,延迟,残缺体质,影,地面蔓延,交换位置,以残缺体质为源、影为媒介：延迟；地面蔓延 → 交换位置
AB0165,错位,残缺体质,纹,范围笼罩,交换位置,以残缺体质为源、纹为媒介：错位；范围笼罩 → 交换位置
AB0166,共生,器物,雾,媒介传导,改变身体规则,以器物为源、雾为媒介：共生；媒介传导 → 改变身体规则
AB0167,标记,器物,雾,范围笼罩,标记目标,以器物为源、雾为媒介：标记；范围笼罩 → 标记目标
AB0168,吞噬,器物,光,媒介传导,剥夺行动,以器物为源、光为媒介：吞噬；媒介传导 → 剥夺行动
AB0169,剥离,天授,光,视线锁定,改变因果顺序,以天授为源、光为媒介：剥离；视线锁定 → 改变因果顺序
AB0170,方向改变,残缺体质,声,接触命中,剥夺行动,以残缺体质为源、声为媒介：方向改变；接触命中 → 剥夺行动
AB0171,复制,血脉,雷,地面蔓延,造成位移,以血脉为源、雷为媒介：复制；地面蔓延 → 造成位移
AB0172,分解,残缺体质,血,接触命中,吸收结构,以残缺体质为源、血为媒介：分解；接触命中 → 吸收结构
AB0173,转移,功法,声,视线锁定,改变因果顺序,以功法为源、声为媒介：转移；视线锁定 → 改变因果顺序
AB0174,重构,共鸣,尘,接触命中,标记目标,以共鸣为源、尘为媒介：重构；接触命中 → 标记目标
AB0175,削弱,功法,气,范围笼罩,标记目标,以功法为源、气为媒介：削弱；范围笼罩 → 标记目标
AB0176,共振,契约,雾,媒介传导,标记目标,以契约为源、雾为媒介：共振；媒介传导 → 标记目标
AB0177,方向改变,残缺体质,尘,媒介传导,改变身体规则,以残缺体质为源、尘为媒介：方向改变；媒介传导 → 改变身体规则
AB0178,折叠,天授,气,媒介传导,交换位置,以天授为源、气为媒介：折叠；媒介传导 → 交换位置
AB0179,回响,功法,纹,接触命中,改变身体规则,以功法为源、纹为媒介：回响；接触命中 → 改变身体规则
AB0180,嵌套,功法,气,接触命中,交换位置,以功法为源、气为媒介：嵌套；接触命中 → 交换位置
AB0181,嵌套,共鸣,尘,接触命中,吸收结构,以共鸣为源、尘为媒介：嵌套；接触命中 → 吸收结构
AB0182,方向改变,器物,丝,范围笼罩,吸收结构,以器物为源、丝为媒介：方向改变；范围笼罩 → 吸收结构
AB0183,锚定,共鸣,雾,接触命中,限制变化,以共鸣为源、雾为媒介：锚定；接触命中 → 限制变化
AB0184,分解,异化,雷,范围笼罩,造成位移,以异化为源、雷为媒介：分解；范围笼罩 → 造成位移
AB0185,共振,功法,血,媒介传导,改变因果顺序,以功法为源、血为媒介：共振；媒介传导 → 改变因果顺序
AB0186,位置改变,共鸣,丝,地面蔓延,标记目标,以共鸣为源、丝为媒介：位置改变；地面蔓延 → 标记目标
AB0187,方向改变,天授,雷,媒介传导,吸收结构,以天授为源、雷为媒介：方向改变；媒介传导 → 吸收结构
AB0188,强化,异化,气,地面蔓延,制造错误感知,以异化为源、气为媒介：强化；地面蔓延 → 制造错误感知
AB0189,折叠,器物,雾,接触命中,限制变化,以器物为源、雾为媒介：折叠；接触命中 → 限制变化
AB0190,回溯,共鸣,纹,接触命中,吸收结构,以共鸣为源、纹为媒介：回溯；接触命中 → 吸收结构
AB0191,共振,共鸣,气,视线锁定,标记目标,以共鸣为源、气为媒介：共振；视线锁定 → 标记目标
AB0192,标记,共鸣,丝,地面蔓延,交换位置,以共鸣为源、丝为媒介：标记；地面蔓延 → 交换位置
AB0193,错位,异化,尘,地面蔓延,标记目标,以异化为源、尘为媒介：错位；地面蔓延 → 标记目标
AB0194,剥离,契约,雾,接触命中,复制信息,以契约为源、雾为媒介：剥离；接触命中 → 复制信息
AB0195,共振,功法,雷,地面蔓延,制造错误感知,以功法为源、雷为媒介：共振；地面蔓延 → 制造错误感知
AB0196,标记,血脉,气,接触命中,改变因果顺序,以血脉为源、气为媒介：标记；接触命中 → 改变因果顺序
AB0197,共生,共鸣,光,媒介传导,交换位置,以共鸣为源、光为媒介：共生；媒介传导 → 交换位置
AB0198,回响,天授,纹,视线锁定,制造错误感知,以天授为源、纹为媒介：回响；视线锁定 → 制造错误感知
AB0199,剥离,契约,尘,地面蔓延,吸收结构,以契约为源、尘为媒介：剥离；地面蔓延 → 吸收结构
AB0200,伪装,血脉,雾,媒介传导,剥夺行动,以血脉为源、雾为媒介：伪装；媒介传导 → 剥夺行动
AB0201,重构,血脉,丝,媒介传导,复制信息,以血脉为源、丝为媒介：重构；媒介传导 → 复制信息
AB0202,错位,共鸣,声,地面蔓延,制造错误感知,以共鸣为源、声为媒介：错位；地面蔓延 → 制造错误感知
AB0203,折叠,功法,影,视线锁定,改变因果顺序,以功法为源、影为媒介：折叠；视线锁定 → 改变因果顺序
AB0204,回溯,共鸣,尘,媒介传导,剥夺行动,以共鸣为源、尘为媒介：回溯；媒介传导 → 剥夺行动
AB0205,共振,血脉,雷,接触命中,造成位移,以血脉为源、雷为媒介：共振；接触命中 → 造成位移
AB0206,记录,功法,丝,视线锁定,制造错误感知,以功法为源、丝为媒介：记录；视线锁定 → 制造错误感知
AB0207,空间连接,功法,尘,范围笼罩,标记目标,以功法为源、尘为媒介：空间连接；范围笼罩 → 标记目标
AB0208,空间连接,功法,血,地面蔓延,改变身体规则,以功法为源、血为媒介：空间连接；地面蔓延 → 改变身体规则
AB0209,复制,器物,气,接触命中,交换位置,以器物为源、气为媒介：复制；接触命中 → 交换位置
AB0210,空间连接,共鸣,气,视线锁定,标记目标,以共鸣为源、气为媒介：空间连接；视线锁定 → 标记目标
AB0211,嵌套,功法,声,地面蔓延,制造错误感知,以功法为源、声为媒介：嵌套；地面蔓延 → 制造错误感知
AB0212,转移,天授,光,视线锁定,限制变化,以天授为源、光为媒介：转移；视线锁定 → 限制变化
AB0213,重构,共鸣,声,地面蔓延,造成位移,以共鸣为源、声为媒介：重构；地面蔓延 → 造成位移
AB0214,加速,异化,影,地面蔓延,改变身体规则,以异化为源、影为媒介：加速；地面蔓延 → 改变身体规则
AB0215,折叠,天授,尘,视线锁定,标记目标,以天授为源、尘为媒介：折叠；视线锁定 → 标记目标
AB0216,位置改变,残缺体质,血,地面蔓延,限制变化,以残缺体质为源、血为媒介：位置改变；地面蔓延 → 限制变化
AB0217,削弱,契约,光,范围笼罩,吸收结构,以契约为源、光为媒介：削弱；范围笼罩 → 吸收结构
AB0218,加速,天授,丝,范围笼罩,剥夺行动,以天授为源、丝为媒介：加速；范围笼罩 → 剥夺行动
AB0219,伪装,共鸣,雾,范围笼罩,限制变化,以共鸣为源、雾为媒介：伪装；范围笼罩 → 限制变化
AB0220,剥离,血脉,血,视线锁定,限制变化,以血脉为源、血为媒介：剥离；视线锁定 → 限制变化
AB0221,锚定,残缺体质,雷,范围笼罩,交换位置,以残缺体质为源、雷为媒介：锚定；范围笼罩 → 交换位置
AB0222,共振,共鸣,光,地面蔓延,标记目标,以共鸣为源、光为媒介：共振；地面蔓延 → 标记目标
AB0223,状态交换,血脉,丝,媒介传导,改变因果顺序,以血脉为源、丝为媒介：状态交换；媒介传导 → 改变因果顺序
AB0224,伪装,器物,雾,视线锁定,吸收结构,以器物为源、雾为媒介：伪装；视线锁定 → 吸收结构
AB0225,锚定,天授,血,媒介传导,造成位移,以天授为源、血为媒介：锚定；媒介传导 → 造成位移
AB0226,方向改变,功法,雾,范围笼罩,改变身体规则,以功法为源、雾为媒介：方向改变；范围笼罩 → 改变身体规则
AB0227,状态交换,天授,尘,视线锁定,剥夺行动,以天授为源、尘为媒介：状态交换；视线锁定 → 剥夺行动
AB0228,回溯,天授,雷,范围笼罩,剥夺行动,以天授为源、雷为媒介：回溯；范围笼罩 → 剥夺行动
AB0229,复制,异化,尘,接触命中,交换位置,以异化为源、尘为媒介：复制；接触命中 → 交换位置
AB0230,错位,天授,声,地面蔓延,改变因果顺序,以天授为源、声为媒介：错位；地面蔓延 → 改变因果顺序
AB0231,空间连接,残缺体质,影,接触命中,复制信息,以残缺体质为源、影为媒介：空间连接；接触命中 → 复制信息
AB0232,空间连接,契约,雾,媒介传导,标记目标,以契约为源、雾为媒介：空间连接；媒介传导 → 标记目标
AB0233,延迟,功法,气,接触命中,改变因果顺序,以功法为源、气为媒介：延迟；接触命中 → 改变因果顺序
AB0234,分解,契约,影,接触命中,复制信息,以契约为源、影为媒介：分解；接触命中 → 复制信息
AB0235,折叠,血脉,雾,地面蔓延,限制变化,以血脉为源、雾为媒介：折叠；地面蔓延 → 限制变化
AB0236,位置改变,共鸣,雾,视线锁定,吸收结构,以共鸣为源、雾为媒介：位置改变；视线锁定 → 吸收结构
AB0237,强化,共鸣,尘,媒介传导,造成位移,以共鸣为源、尘为媒介：强化；媒介传导 → 造成位移
AB0238,记录,共鸣,雷,视线锁定,交换位置,以共鸣为源、雷为媒介：记录；视线锁定 → 交换位置
