weapon_id,类型,机制,材质,形态,描述
WP0085,镰,刀刃自愈,金,双持,金镰·双持；机制：刀刃自愈
WP0086,杖,以气御使,青铜,背负式,青铜杖·背负式；机制：以气御使
WP0087,单手剑,共鸣震动,青铜,短柄,青铜单手剑·短柄；机制：共鸣震动
WP0088,符,折叠变形,青铜,双持,青铜符·双持；机制：折叠变形
WP0089,扇,刀刃自愈,青铜,短柄,青铜扇·短柄；机制：刀刃自愈
WP0090,双手巨剑,分体飞击,寒铁合金,可伸缩,寒铁合金双手巨剑·可伸缩；机制：分体飞击
WP0091,针,收纳空间,青铜,长柄,青铜针·长柄；机制：收纳空间
WP0092,鞭,共鸣震动,木,背负式,木鞭·背负式；机制：共鸣震动
WP0093,爪,分体飞击,寒铁合金,双持,寒铁合金爪·双持；机制：分体飞击
WP0094,笛,铭文启动,金,无柄悬浮,金笛·无柄悬浮；机制：铭文启动
WP0095,单手剑,消耗寿命,黑铁,缠于手臂,黑铁单手剑·缠于手臂；机制：消耗寿命
WP0096,钩,吸血反哺,玉,可伸缩,玉钩·可伸缩；机制：吸血反哺
WP0097,杖,以气御使,黑铁,短柄,黑铁杖·短柄；机制：以气御使
WP0098,链,锁链牵引,寒铁合金,长柄,寒铁合金链·长柄；机制：锁链牵引
WP0099,盾,分体飞击,青铜,无柄悬浮,青铜盾·无柄悬浮；机制：分体飞击
WP0100,盾,镜像复制,金,可伸缩,金盾·可伸缩；机制：镜像复制
WP0101,扇,刀刃自愈,木,藏于袖,木扇·藏于袖；机制：刀刃自愈
WP0102,印,折叠变形,银,背负式,银印·背负式；机制：折叠变形
WP0103,长刀,断节重组,银,可伸缩,银长刀·可伸缩；机制：断节重组
WP0104,爪,锁链牵引,金,缠于手臂,金爪·缠于手臂；机制：锁链牵引
WP0105,拳套,吸血反哺,晶体,双持,晶体拳套·双持；机制：吸血反哺
WP0106,钩,锁链牵引,金,缠于手臂,金钩·缠于手臂；机制：锁链牵引
WP0107,伞,吸取记忆,寒铁合金,双持,寒铁合金伞·双持；机制：吸取记忆
WP0108,双手巨剑,折叠变形,玄钢,长柄,玄钢双手巨剑·长柄；机制：折叠变形
WP0109,镰,分体飞击,寒铁合金,可伸缩,寒铁合金镰·可伸缩；机制：分体飞击
WP0110,琴,结印增幅,骨,长柄,骨琴·长柄；机制：结印增幅
WP0111,伞,锁链牵引,晶体,背负式,晶体伞·背负式；机制：锁链牵引
WP0112,镰,结印增幅,银,无柄悬浮,银镰·无柄悬浮；机制：结印增幅
WP0113,盾,结印增幅,寒铁合金,背负式,寒铁合金盾·背负式；机制：结印增幅
WP0114,软剑,结印增幅,骨,背负式,骨软剑·背负式；机制：结印增幅
WP0115,幡,共鸣震动,木,缠于手臂,木幡·缠于手臂；机制：共鸣震动
WP0116,拳套,以气御使,骨,藏于袖,骨拳套·藏于袖；机制：以气御使
WP0117,针,重量变化,寒铁合金,无柄悬浮,寒铁合金针·无柄悬浮；机制：重量变化
WP0118,长刀,以气御使,青铜,可伸缩,青铜长刀·可伸缩；机制：以气御使
WP0119,镰,重量变化,金,背负式,金镰·背负式；机制：重量变化
WP0120,锤,锁链牵引,木,缠于手臂,木锤·缠于手臂；机制：锁链牵引
WP0121,单手剑,铭文启动,晶体,可伸缩,晶体单手剑·可伸缩；机制：铭文启动
WP0122,爪,镜像复制,玉,长柄,玉爪·长柄；机制：镜像复制
WP0123,链,重量变化,玄钢,藏于袖,玄钢链·藏于袖；机制：重量变化
WP0124,杖,铭文启动,青铜,无柄悬浮,青铜杖·无柄悬浮；机制：铭文启动
WP0125,笛,重量变化,玉,短柄,玉笛·短柄；机制：重量变化
WP0126,双手巨剑,以气御使,晶体,双持,晶体双手巨剑·双持；机制：以气御使
WP0127,笔,消耗寿命,玄钢,双持,玄钢笔·双持；机制：消耗寿命
WP0128,链,铭文启动,金,短柄,金链·短柄；机制：铭文启动
WP0129,鞭,镜像复制,骨,长柄,骨鞭·长柄；机制：镜像复制
WP0130,符,断节重组,金,缠于手臂,金符·缠于手臂；机制：断节重组
WP0131,软剑,镜像复制,骨,无柄悬浮,骨软剑·无柄悬浮；机制：镜像复制
WP0132,笔,刀刃自愈,木,可伸缩,木笔·可伸缩；机制：刀刃自愈
WP0133,锤,结印增幅,玉,藏于袖,玉锤·藏于袖；机制：结印增幅
WP0134,盾,折叠变形,玄钢,无柄悬浮,玄钢盾·无柄悬浮；机制：折叠变形
WP0135,拳套,分体飞击,木,缠于手臂,木拳套·缠于手臂；机制：分体飞击
WP0136,软剑,消耗寿命,骨,双持,骨软剑·双持；机制：消耗寿命
WP0137,双手巨剑,重量变化,玉,可伸缩,玉双手巨剑·可伸缩；机制：重量变化
WP0138,镰,收纳空间,玄钢,双持,玄钢镰·双持；机制：收纳空间
WP0139,棍,以气御使,玄钢,缠于手臂,玄钢棍·缠于手臂；机制：以气御使
WP0140,爪,消耗寿命,晶体,双持,晶体爪·双持；机制：消耗寿命
WP0141,爪,以气御使,晶体,可伸缩,晶体爪·可伸缩；机制：以气御使
WP0142,戟,重量变化,银,短柄,银戟·短柄；机制：重量变化
WP0143,弩,断节重组,青铜,长柄,青铜弩·长柄；机制：断节重组
WP0144,印,断节重组,银,藏于袖,银印·藏于袖；机制：断节重组
WP0145,印,镜像复制,晶体,双持,晶体印·双持；机制：镜像复制
WP0146,环,锁链牵引,晶体,藏于袖,晶体环·藏于袖；机制：锁链牵引
WP0147,弩,刀刃自愈,木,双持,木弩·双持；机制：刀刃自愈
WP0148,环,以气御使,青铜,背负式,青铜环·背负式；机制：以气御使
WP0149,棍,锁链牵引,玄钢,长柄,玄钢棍·长柄；机制：锁链牵引
WP0150,锤,吸血反哺,晶体,缠于手臂,晶体锤·缠于手臂；机制：吸血反哺
WP0151,单手剑,重量变化,骨,无柄悬浮,骨单手剑·无柄悬浮；机制：重量变化
WP0152,长刀,共鸣震动,玉,藏于袖,玉长刀·藏于袖；机制：共鸣震动
WP0153,针,锁链牵引,寒铁合金,缠于手臂,寒铁合金针·缠于手臂；机制：锁链牵引
WP0154,环,刀刃自愈,玄钢,短柄,玄钢环·短柄；机制：刀刃自愈
WP0155,琴,镜像复制,木,缠于手臂,木琴·缠于手臂；机制：镜像复制
WP0156,锤,重量变化,玉,可伸缩,玉锤·可伸缩；机制：重量变化
WP0157,环,折叠变形,金,双持,金环·双持；机制：折叠变形
WP0158,笔,结印增幅,金,短柄,金笔·短柄；机制：结印增幅
WP0159,弩,以气御使,青铜,背负式,青铜弩·背负式；机制：以气御使
WP0160,环,吸血反哺,青铜,双持,青铜环·双持；机制：吸血反哺
WP0161,锤,收纳空间,青铜,无柄悬浮,青铜锤·无柄悬浮；机制：收纳空间
WP0162,拳套,吸血反哺,银,无柄悬浮,银拳套·无柄悬浮；机制：吸血反哺
WP0163,锤,锁链牵引,木,可伸缩,木锤·可伸缩；机制：锁链牵引
WP0164,链,刀刃自愈,青铜,可伸缩,青铜链·可伸缩；机制：刀刃自愈
WP0165,链,断节重组,玉,无柄悬浮,玉链·无柄悬浮；机制：断节重组
WP0166,双手巨剑,锁链牵引,寒铁合金,藏于袖,寒铁合金双手巨剑·藏于袖；机制：锁链牵引
WP0167,伞,消耗寿命,晶体,无柄悬浮,晶体伞·无柄悬浮；机制：消耗寿命
WP0168,琴,镜像复制,木,无柄悬浮,木琴·无柄悬浮；机制：镜像复制
WP0169,短刀,刀刃自愈,木,双持,木短刀·双持；机制：刀刃自愈
WP0170,爪,铭文启动,木,背负式,木爪·背负式；机制：铭文启动
WP0171,伞,结印增幅,青铜,长柄,青铜伞·长柄；机制：结印增幅
WP0172,软剑,分体飞击,玄钢,背负式,玄钢软剑·背负式；机制：分体飞击
WP0173,双手巨剑,刀刃自愈,金,双持,金双手巨剑·双持；机制：刀刃自愈
WP0174,弓,重量变化,玉,短柄,玉弓·短柄；机制：重量变化
WP0175,印,重量变化,木,双持,木印·双持；机制：重量变化
WP0176,镰,结印增幅,骨,藏于袖,骨镰·藏于袖；机制：结印增幅
WP0177,印,重量变化,金,长柄,金印·长柄；机制：重量变化
WP0178,戟,刀刃自愈,黑铁,背负式,黑铁戟·背负式；机制：刀刃自愈
WP0179,钟,吸血反哺,骨,缠于手臂,骨钟·缠于手臂；机制：吸血反哺
WP0180,印,刀刃自愈,晶体,藏于袖,晶体印·藏于袖；机制：刀刃自愈
WP0181,笔,镜像复制,骨,可伸缩,骨笔·可伸缩；机制：镜像复制
WP0182,扇,分体飞击,青铜,无柄悬浮,青铜扇·无柄悬浮；机制：分体飞击
WP0183,幡,折叠变形,寒铁合金,无柄悬浮,寒铁合金幡·无柄悬浮；机制：折叠变形
WP0184,链,锁链牵引,金,短柄,金链·短柄；机制：锁链牵引
WP0185,棍,消耗寿命,黑铁,背负式,黑铁棍·背负式；机制：消耗寿命
WP0186,枪,共鸣震动,晶体,背负式,晶体枪·背负式；机制：共鸣震动
WP0187,锤,以气御使,玄钢,藏于袖,玄钢锤·藏于袖；机制：以气御使
WP0188,链,共鸣震动,骨,长柄,骨链·长柄；机制：共鸣震动
WP0189,盾,共鸣震动,晶体,无柄悬浮,晶体盾·无柄悬浮；机制：共鸣震动
WP0190,拳套,重量变化,青铜,可伸缩,青铜拳套·可伸缩；机制：重量变化
WP0191,伞,吸取记忆,玄钢,背负式,玄钢伞·背负式；机制：吸取记忆
WP0192,杖,重量变化,玄钢,可伸缩,玄钢杖·可伸缩；机制：重量变化
WP0193,拳套,刀刃自愈,黑铁,无柄悬浮,黑铁拳套·无柄悬浮；机制：刀刃自愈
WP0194,双手巨剑,折叠变形,木,短柄,木双手巨剑·短柄；机制：折叠变形
WP0195,琴,以气御使,银,长柄,银琴·长柄；机制：以气御使
WP0196,印,以气御使,骨,长柄,骨印·长柄；机制：以气御使
WP0197,双手巨剑,共鸣震动,寒铁合金,长柄,寒铁合金双手巨剑·长柄；机制：共鸣震动
WP0198,环,铭文启动,寒铁合金,长柄,寒铁合金环·长柄；机制：铭文启动
WP0199,符,锁链牵引,寒铁合金,短柄,寒铁合金符·短柄；机制：锁链牵引
WP0200,盾,锁链牵引,银,无柄悬浮,银盾·无柄悬浮；机制：锁链牵引
WP0201,单手剑,结印增幅,寒铁合金,长柄,寒铁合金单手剑·长柄；机制：结印增幅
WP0202,盾,收纳空间,玉,无柄悬浮,玉盾·无柄悬浮；机制：收纳空间
WP0203,扇,结印增幅,骨,无柄悬浮,骨扇·无柄悬浮；机制：结印增幅
WP0204,琴,断节重组,青铜,藏于袖,青铜琴·藏于袖；机制：断节重组
WP0205,环,消耗寿命,寒铁合金,短柄,寒铁合金环·短柄；机制：消耗寿命
WP0206,钩,收纳空间,金,无柄悬浮,金钩·无柄悬浮；机制：收纳空间
WP0207,单手剑,共鸣震动,木,双持,木单手剑·双持；机制：共鸣震动
WP0208,链,锁链牵引,骨,双持,骨链·双持；机制：锁链牵引
WP0209,枪,吸取记忆,青铜,背负式,青铜枪·背负式；机制：吸取记忆
WP0210,弓,共鸣震动,寒铁合金,无柄悬浮,寒铁合金弓·无柄悬浮；机制：共鸣震动
WP0211,钩,吸血反哺,寒铁合金,无柄悬浮,寒铁合金钩·无柄悬浮；机制：吸血反哺
WP0212,短刀,分体飞击,玉,长柄,玉短刀·长柄；机制：分体飞击
WP0213,幡,铭文启动,晶体,短柄,晶体幡·短柄；机制：铭文启动
WP0214,杖,结印增幅,黑铁,背负式,黑铁杖·背负式；机制：结印增幅
WP0215,伞,镜像复制,木,藏于袖,木伞·藏于袖；机制：镜像复制
WP0216,钟,折叠变形,黑铁,无柄悬浮,黑铁钟·无柄悬浮；机制：折叠变形
WP0217,软剑,以气御使,银,藏于袖,银软剑·藏于袖；机制：以气御使
WP0218,琴,刀刃自愈,玉,短柄,玉琴·短柄；机制：刀刃自愈
WP0219,笛,重量变化,银,缠于手臂,银笛·缠于手臂；机制：重量变化
WP0220,棍,消耗寿命,青铜,长柄,青铜棍·长柄；机制：消耗寿命
WP0221,锤,折叠变形,寒铁合金,背负式,寒铁合金锤·背负式；机制：折叠变形
WP0222,符,以气御使,玉,藏于袖,玉符·藏于袖；机制：以气御使
WP0223,符,锁链牵引,青铜,藏于袖,青铜符·藏于袖；机制：锁链牵引
WP0224,戟,折叠变形,寒铁合金,背负式,寒铁合金戟·背负式；机制：折叠变形
WP0225,拳套,镜像复制,晶体,长柄,晶体拳套·长柄；机制：镜像复制
WP0226,拳套,镜像复制,晶体,短柄,晶体拳套·短柄；机制：镜像复制
WP0227,软剑,结印增幅,玄钢,藏于袖,玄钢软剑·藏于袖；机制：结印增幅
WP0228,钟,吸血反哺,青铜,长柄,青铜钟·长柄；机制：吸血反哺
WP0229,棍,锁链牵引,青铜,双持,青铜棍·双持；机制：锁链牵引
WP0230,拳套,分体飞击,玉,无柄悬浮,玉拳套·无柄悬浮；机制：分体飞击
WP0231,钩,消耗寿命,玉,长柄,玉钩·长柄；机制：消耗寿命
WP0232,棍,镜像复制,晶体,背负式,晶体棍·背负式；机制：镜像复制
WP0233,拳套,分体飞击,银,短柄,银拳套·短柄；机制：分体飞击
WP0234,短刀,以气御使,寒铁合金,短柄,寒铁合金短刀·短柄；机制：以气御使
WP0235,软剑,锁链牵引,银,双持,银软剑·双持；机制：锁链牵引
WP0236,枪,锁链牵引,青铜,背负式,青铜枪·背负式；机制：锁链牵引
WP0237,枪,以气御使,玉,可伸缩,玉枪·可伸缩；机制：以气御使
WP0238,弓,刀刃自愈,银,缠于手臂,银弓·缠于手臂；机制：刀刃自愈
WP0239,镰,断节重组,木,短柄,木镰·短柄；机制：断节重组
WP0240,拳套,消耗寿命,木,缠于手臂,木拳套·缠于手臂；机制：消耗寿命
WP0241,长刀,断节重组,银,背负式,银长刀·背负式；机制：断节重组
WP0242,扇,重量变化,黑铁,缠于手臂,黑铁扇·缠于手臂；机制：重量变化
WP0243,弓,刀刃自愈,金,长柄,金弓·长柄；机制：刀刃自愈
WP0244,笔,共鸣震动,晶体,藏于袖,晶体笔·藏于袖；机制：共鸣震动
WP0245,链,重量变化,银,无柄悬浮,银链·无柄悬浮；机制：重量变化
WP0246,短刀,分体飞击,木,可伸缩,木短刀·可伸缩；机制：分体飞击
WP0247,鞭,锁链牵引,金,短柄,金鞭·短柄；机制：锁链牵引
WP0248,拳套,以气御使,青铜,短柄,青铜拳套·短柄；机制：以气御使
WP0249,符,吸血反哺,木,双持,木符·双持；机制：吸血反哺
WP0250,幡,消耗寿命,银,可伸缩,银幡·可伸缩；机制：消耗寿命
WP0251,弓,锁链牵引,玄钢,长柄,玄钢弓·长柄；机制：锁链牵引
WP0252,盾,铭文启动,银,无柄悬浮,银盾·无柄悬浮；机制：铭文启动
WP0253,笔,断节重组,银,双持,银笔·双持；机制：断节重组
WP0254,符,消耗寿命,玄钢,双持,玄钢符·双持；机制：消耗寿命
WP0255,笔,结印增幅,玄钢,无柄悬浮,玄钢笔·无柄悬浮；机制：结印增幅
WP0256,长刀,共鸣震动,木,背负式,木长刀·背负式；机制：共鸣震动
WP0257,弓,锁链牵引,玉,短柄,玉弓·短柄；机制：锁链牵引
WP0258,印,消耗寿命,木,缠于手臂,木印·缠于手臂；机制：消耗寿命
WP0259,弓,镜像复制,青铜,长柄,青铜弓·长柄；机制：镜像复制
WP0260,镰,锁链牵引,青铜,可伸缩,青铜镰·可伸缩；机制：锁链牵引
WP0261,盾,吸血反哺,骨,双持,骨盾·双持；机制：吸血反哺
WP0262,单手剑,镜像复制,木,短柄,木单手剑·短柄；机制：镜像复制
WP0263,笔,结印增幅,玄钢,双持,玄钢笔·双持；机制：结印增幅
WP0264,杖,吸血反哺,玄钢,无柄悬浮,玄钢杖·无柄悬浮；机制：吸血反哺
WP0265,针,镜像复制,玄钢,可伸缩,玄钢针·可伸缩；机制：镜像复制
WP0266,单手剑,分体飞击,金,长柄,金单手剑·长柄；机制：分体飞击
WP0267,鞭,以气御使,木,可伸缩,木鞭·可伸缩；机制：以气御使
WP0268,鞭,收纳空间,骨,无柄悬浮,骨鞭·无柄悬浮；机制：收纳空间
WP0269,琴,重量变化,骨,藏于袖,骨琴·藏于袖；机制：重量变化
WP0270,符,消耗寿命,黑铁,短柄,黑铁符·短柄；机制：消耗寿命
WP0271,弩,重量变化,晶体,长柄,晶体弩·长柄；机制：重量变化
WP0272,弩,收纳空间,玉,短柄,玉弩·短柄；机制：收纳空间
WP0273,琴,锁链牵引,寒铁合金,双持,寒铁合金琴·双持；机制：锁链牵引
WP0274,钩,吸取记忆,玄钢,无柄悬浮,玄钢钩·无柄悬浮；机制：吸取记忆
WP0275,伞,分体飞击,木,双持,木伞·双持；机制：分体飞击
WP0276,链,锁链牵引,玄钢,缠于手臂,玄钢链·缠于手臂；机制：锁链牵引
WP0277,弓,断节重组,寒铁合金,长柄,寒铁合金弓·长柄；机制：断节重组
WP0278,钟,重量变化,玉,可伸缩,玉钟·可伸缩；机制：重量变化
WP0279,弓,吸血反哺,晶体,无柄悬浮,晶体弓·无柄悬浮；机制：吸血反哺
WP0280,弩,断节重组,青铜,双持,青铜弩·双持；机制：断节重组
WP0281,伞,分体飞击,银,藏于袖,银伞·藏于袖；机制：分体飞击
WP0282,针,吸取记忆,银,短柄,银针·短柄；机制：吸取记忆
WP0283,符,吸血反哺,金,藏于袖,金符·藏于袖；机制：吸血反哺
WP0284,杖,结印增幅,寒铁合金,短柄,寒铁合金杖·短柄；机制：结印增幅
WP0285,长刀,共鸣震动,金,双持,金长刀·双持；机制：共鸣震动
WP0286,短刀,刀刃自愈,玉,长柄,玉短刀·长柄；机制：刀刃自愈
WP0287,鞭,共鸣震动,骨,无柄悬浮,骨鞭·无柄悬浮；机制：共鸣震动
WP0288,针,消耗寿命,骨,双持,骨针·双持；机制：消耗寿命
WP0289,镰,收纳空间,金,长柄,金镰·长柄；机制：收纳空间
WP0290,钟,断节重组,金,可伸缩,金钟·可伸缩；机制：断节重组
WP0291,镰,吸血反哺,骨,双持,骨镰·双持；机制：吸血反哺
WP0292,弩,刀刃自愈,晶体,可伸缩,晶体弩·可伸缩；机制：刀刃自愈
WP0293,钟,收纳空间,黑铁,长柄,黑铁钟·长柄；机制：收纳空间
WP0294,爪,刀刃自愈,晶体,长柄,晶体爪·长柄；机制：刀刃自愈
WP0295,软剑,消耗寿命,黑铁,长柄,黑铁软剑·长柄；机制：消耗寿命
WP0296,戟,分体飞击,银,短柄,银戟·短柄；机制：分体飞击
WP0297,双手巨剑,结印增幅,晶体,长柄,晶体双手巨剑·长柄；机制：结印增幅
WP0298,双手巨剑,消耗寿命,玄钢,缠于手臂,玄钢双手巨剑·缠于手臂；机制：消耗寿命
WP0299,盾,镜像复制,青铜,缠于手臂,青铜盾·缠于手臂；机制：镜像复制
WP0300,弩,吸血反哺,晶体,背负式,晶体弩·背负式；机制：吸血反哺
WP0301,笔,刀刃自愈,寒铁合金,背负式,寒铁合金笔·背负式；机制：刀刃自愈
WP0302,短刀,刀刃自愈,玉,缠于手臂,玉短刀·缠于手臂；机制：刀刃自愈
WP0303,杖,镜像复制,玉,可伸缩,玉杖·可伸缩；机制：镜像复制
WP0304,拳套,重量变化,晶体,藏于袖,晶体拳套·藏于袖；机制：重量变化
WP0305,弓,折叠变形,骨,短柄,骨弓·短柄；机制：折叠变形
WP0306,单手剑,铭文启动,金,短柄,金单手剑·短柄；机制：铭文启动
WP0307,杖,重量变化,寒铁合金,缠于手臂,寒铁合金杖·缠于手臂；机制：重量变化
WP0308,枪,共鸣震动,黑铁,长柄,黑铁枪·长柄；机制：共鸣震动
WP0309,锤,共鸣震动,寒铁合金,短柄,寒铁合金锤·短柄；机制：共鸣震动
WP0310,琴,分体飞击,玄钢,双持,玄钢琴·双持；机制：分体飞击
WP0311,笛,断节重组,银,无柄悬浮,银笛·无柄悬浮；机制：断节重组
WP0312,笔,分体飞击,银,双持,银笔·双持；机制：分体飞击
WP0313,针,结印增幅,骨,双持,骨针·双持；机制：结印增幅
WP0314,弓,吸取记忆,银,长柄,银弓·长柄；机制：吸取记忆
WP0315,扇,重量变化,青铜,短柄,青铜扇·短柄；机制：重量变化
WP0316,杖,消耗寿命,玉,短柄,玉杖·短柄；机制：消耗寿命
WP0317,棍,吸血反哺,木,短柄,木棍·短柄；机制：吸血反哺
WP0318,枪,结印增幅,寒铁合金,无柄悬浮,寒铁合金枪·无柄悬浮；机制：结印增幅
WP0319,环,重量变化,木,无柄悬浮,木环·无柄悬浮；机制：重量变化
