body_id,性别,体型,比例,肌肉型,站姿,描述
BD0025,女,异族型,7.5头身,非战斗肌,微微下沉,女性·异族型 / 7.5头身 / 非战斗肌 / 微微下沉
BD0026,男,剑士型,6.5头身,精瘦紧致,微微下沉,男性·剑士型 / 6.5头身 / 精瘦紧致 / 微微下沉
BD0027,女,异族型,6.5头身,病弱纤薄,手扶武器,女性·异族型 / 6.5头身 / 病弱纤薄 / 手扶武器
BD0028,男,游侠型,7头身,非战斗肌,自然站姿,男性·游侠型 / 7头身 / 非战斗肌 / 自然站姿
BD0029,男,均衡型,6.5头身,精瘦紧致,手扶武器,男性·均衡型 / 6.5头身 / 精瘦紧致 / 手扶武器
BD0030,男,剑士型,8头身,少年未成型,微微下沉,男性·剑士型 / 8头身 / 少年未成型 / 微微下沉
BD0031,男,智者型,6.5头身,饱满力量,手扶武器,男性·智者型 / 6.5头身 / 饱满力量 / 手扶武器
BD0032,男,刺客型,7头身,饱满力量,重心后坐,男性·刺客型 / 7头身 / 饱满力量 / 重心后坐
BD0033,女,精悍型,7.5头身,病弱纤薄,侧身戒备,女性·精悍型 / 7.5头身 / 病弱纤薄 / 侧身戒备
BD0034,女,猎手型,8头身,厚实沉稳,重心前倾,女性·猎手型 / 8头身 / 厚实沉稳 / 重心前倾
BD0035,男,瘦长型,7.5头身,低脂清晰,抱臂而立,男性·瘦长型 / 7.5头身 / 低脂清晰 / 抱臂而立
BD0036,男,瘦长型,8头身,中等紧实,手扶武器,男性·瘦长型 / 8头身 / 中等紧实 / 手扶武器
BD0037,男,瘦长型,6.5头身,厚实沉稳,微微下沉,男性·瘦长型 / 6.5头身 / 厚实沉稳 / 微微下沉
BD0038,男,瘦长型,8.5头身,厚实沉稳,自然站姿,男性·瘦长型 / 8.5头身 / 厚实沉稳 / 自然站姿
BD0039,男,力士型,7.5头身,非战斗肌,侧身戒备,男性·力士型 / 7.5头身 / 非战斗肌 / 侧身戒备
BD0040,男,游侠型,8.5头身,饱满力量,重心前倾,男性·游侠型 / 8.5头身 / 饱满力量 / 重心前倾
BD0041,女,灵巧型,6.5头身,病弱纤薄,放松垂手,女性·灵巧型 / 6.5头身 / 病弱纤薄 / 放松垂手
BD0042,女,少女型,8头身,中等紧实,侧身戒备,女性·少女型 / 8头身 / 中等紧实 / 侧身戒备
BD0043,男,剑士型,8头身,厚实沉稳,微微下沉,男性·剑士型 / 8头身 / 厚实沉稳 / 微微下沉
BD0044,男,隐修型,8.5头身,低脂清晰,放松垂手,男性·隐修型 / 8.5头身 / 低脂清晰 / 放松垂手
BD0045,女,丰盈型,8头身,中等紧实,抱臂而立,女性·丰盈型 / 8头身 / 中等紧实 / 抱臂而立
BD0046,女,修长型,7头身,饱满力量,侧身戒备,女性·修长型 / 7头身 / 饱满力量 / 侧身戒备
BD0047,女,猎手型,7.5头身,厚实沉稳,放松垂手,女性·猎手型 / 7.5头身 / 厚实沉稳 / 放松垂手
BD0048,女,异族型,7头身,少年未成型,手扶武器,女性·异族型 / 7头身 / 少年未成型 / 手扶武器
BD0049,男,战士型,8.5头身,少年未成型,重心前倾,男性·战士型 / 8.5头身 / 少年未成型 / 重心前倾
BD0050,女,成熟型,8头身,厚实沉稳,重心前倾,女性·成熟型 / 8头身 / 厚实沉稳 / 重心前倾
BD0051,男,隐修型,7头身,精瘦紧致,重心前倾,男性·隐修型 / 7头身 / 精瘦紧致 / 重心前倾
BD0052,女,灵巧型,8.5头身,低脂清晰,自然站姿,女性·灵巧型 / 8.5头身 / 低脂清晰 / 自然站姿
BD0053,男,力士型,7头身,非战斗肌,侧身戒备,男性·力士型 / 7头身 / 非战斗肌 / 侧身戒备
BD0054,女,温和型,7头身,非战斗肌,微微下沉,女性·温和型 / 7头身 / 非战斗肌 / 微微下沉
BD0055,男,瘦长型,7.5头身,厚实沉稳,自然站姿,男性·瘦长型 / 7.5头身 / 厚实沉稳 / 自然站姿
BD0056,女,猎手型,8.5头身,少年未成型,手扶武器,女性·猎手型 / 8.5头身 / 少年未成型 / 手扶武器
BD0057,女,丰盈型,8.5头身,精瘦紧致,手扶武器,女性·丰盈型 / 8.5头身 / 精瘦紧致 / 手扶武器
BD0058,女,猎手型,7头身,病弱纤薄,侧身戒备,女性·猎手型 / 7头身 / 病弱纤薄 / 侧身戒备
BD0059,男,力士型,7头身,低脂清晰,手扶武器,男性·力士型 / 7头身 / 低脂清晰 / 手扶武器
BD0060,男,智者型,7头身,精瘦紧致,自然站姿,男性·智者型 / 7头身 / 精瘦紧致 / 自然站姿
BD0061,男,力士型,8.5头身,饱满力量,重心前倾,男性·力士型 / 8.5头身 / 饱满力量 / 重心前倾
BD0062,女,少女型,7头身,低脂清晰,重心前倾,女性·少女型 / 7头身 / 低脂清晰 / 重心前倾
BD0063,女,少女型,8.5头身,病弱纤薄,抱臂而立,女性·少女型 / 8.5头身 / 病弱纤薄 / 抱臂而立
BD0064,男,力士型,7.5头身,饱满力量,放松垂手,男性·力士型 / 7.5头身 / 饱满力量 / 放松垂手
BD0065,女,异族型,8.5头身,中等紧实,重心前倾,女性·异族型 / 8.5头身 / 中等紧实 / 重心前倾
BD0066,男,均衡型,8头身,精瘦紧致,重心前倾,男性·均衡型 / 8头身 / 精瘦紧致 / 重心前倾
BD0067,女,异族型,7.5头身,少年未成型,放松垂手,女性·异族型 / 7.5头身 / 少年未成型 / 放松垂手
BD0068,男,战士型,8头身,精瘦紧致,微微下沉,男性·战士型 / 8头身 / 精瘦紧致 / 微微下沉
BD0069,男,力士型,6.5头身,少年未成型,手扶武器,男性·力士型 / 6.5头身 / 少年未成型 / 手扶武器
BD0070,女,少女型,7.5头身,非战斗肌,重心后坐,女性·少女型 / 7.5头身 / 非战斗肌 / 重心后坐
BD0071,男,隐修型,8.5头身,少年未成型,微微下沉,男性·隐修型 / 8.5头身 / 少年未成型 / 微微下沉
BD0072,女,丰盈型,8头身,中等紧实,微微下沉,女性·丰盈型 / 8头身 / 中等紧实 / 微微下沉
BD0073,男,瘦长型,7头身,中等紧实,重心后坐,男性·瘦长型 / 7头身 / 中等紧实 / 重心后坐
BD0074,男,游侠型,7头身,少年未成型,自然站姿,男性·游侠型 / 7头身 / 少年未成型 / 自然站姿
BD0075,男,力士型,7.5头身,中等紧实,侧身戒备,男性·力士型 / 7.5头身 / 中等紧实 / 侧身戒备
BD0076,女,温和型,7头身,低脂清晰,抱臂而立,女性·温和型 / 7头身 / 低脂清晰 / 抱臂而立
BD0077,女,异族型,8.5头身,病弱纤薄,自然站姿,女性·异族型 / 8.5头身 / 病弱纤薄 / 自然站姿
BD0078,男,力士型,7头身,厚实沉稳,自然站姿,男性·力士型 / 7头身 / 厚实沉稳 / 自然站姿
BD0079,男,重装型,7头身,中等紧实,自然站姿,男性·重装型 / 7头身 / 中等紧实 / 自然站姿
BD0080,男,游侠型,7.5头身,病弱纤薄,抱臂而立,男性·游侠型 / 7.5头身 / 病弱纤薄 / 抱臂而立
BD0081,男,重装型,8.5头身,精瘦紧致,微微下沉,男性·重装型 / 8.5头身 / 精瘦紧致 / 微微下沉
BD0082,女,猎手型,8头身,病弱纤薄,重心前倾,女性·猎手型 / 8头身 / 病弱纤薄 / 重心前倾
BD0083,男,战士型,6.5头身,低脂清晰,抱臂而立,男性·战士型 / 6.5头身 / 低脂清晰 / 抱臂而立
BD0084,女,温和型,7.5头身,饱满力量,手扶武器,女性·温和型 / 7.5头身 / 饱满力量 / 手扶武器
BD0085,男,剑士型,7头身,精瘦紧致,自然站姿,男性·剑士型 / 7头身 / 精瘦紧致 / 自然站姿
BD0086,女,猎手型,7.5头身,病弱纤薄,侧身戒备,女性·猎手型 / 7.5头身 / 病弱纤薄 / 侧身戒备
BD0087,男,战士型,6.5头身,非战斗肌,手扶武器,男性·战士型 / 6.5头身 / 非战斗肌 / 手扶武器
BD0088,女,少女型,7.5头身,精瘦紧致,重心前倾,女性·少女型 / 7.5头身 / 精瘦紧致 / 重心前倾
BD0089,男,瘦长型,8头身,病弱纤薄,重心后坐,男性·瘦长型 / 8头身 / 病弱纤薄 / 重心后坐
BD0090,女,丰盈型,8.5头身,少年未成型,自然站姿,女性·丰盈型 / 8.5头身 / 少年未成型 / 自然站姿
BD0091,男,重装型,7头身,低脂清晰,放松垂手,男性·重装型 / 7头身 / 低脂清晰 / 放松垂手
BD0092,女,猎手型,6.5头身,中等紧实,自然站姿,女性·猎手型 / 6.5头身 / 中等紧实 / 自然站姿
BD0093,男,重装型,6.5头身,精瘦紧致,侧身戒备,男性·重装型 / 6.5头身 / 精瘦紧致 / 侧身戒备
BD0094,女,修长型,8头身,低脂清晰,微微下沉,女性·修长型 / 8头身 / 低脂清晰 / 微微下沉
BD0095,男,重装型,7头身,非战斗肌,放松垂手,男性·重装型 / 7头身 / 非战斗肌 / 放松垂手
BD0096,女,温和型,6.5头身,非战斗肌,重心后坐,女性·温和型 / 6.5头身 / 非战斗肌 / 重心后坐
BD0097,女,灵巧型,6.5头身,饱满力量,侧身戒备,女性·灵巧型 / 6.5头身 / 饱满力量 / 侧身戒备
BD0098,男,重装型,7头身,低脂清晰,手扶武器,男性·重装型 / 7头身 / 低脂清晰 / 手扶武器
BD0099,男,重装型,7头身,精瘦紧致,微微下沉,男性·重装型 / 7头身 / 精瘦紧致 / 微微下沉
BD0100,男,战士型,7.5头身,非战斗肌,重心前倾,男性·战士型 / 7.5头身 / 非战斗肌 / 重心前倾
BD0101,男,剑士型,7头身,饱满力量,微微下沉,男性·剑士型 / 7头身 / 饱满力量 / 微微下沉
BD0102,女,灵巧型,8头身,非战斗肌,重心前倾,女性·灵巧型 / 8头身 / 非战斗肌 / 重心前倾
BD0103,男,重装型,8.5头身,中等紧实,抱臂而立,男性·重装型 / 8.5头身 / 中等紧实 / 抱臂而立
BD0104,男,重装型,6.5头身,厚实沉稳,抱臂而立,男性·重装型 / 6.5头身 / 厚实沉稳 / 抱臂而立
BD0105,男,战士型,6.5头身,少年未成型,微微下沉,男性·战士型 / 6.5头身 / 少年未成型 / 微微下沉
BD0106,女,异族型,8头身,病弱纤薄,侧身戒备,女性·异族型 / 8头身 / 病弱纤薄 / 侧身戒备
BD0107,男,力士型,7.5头身,厚实沉稳,重心前倾,男性·力士型 / 7.5头身 / 厚实沉稳 / 重心前倾
BD0108,男,瘦长型,8头身,低脂清晰,自然站姿,男性·瘦长型 / 8头身 / 低脂清晰 / 自然站姿
BD0109,女,猎手型,6.5头身,精瘦紧致,重心后坐,女性·猎手型 / 6.5头身 / 精瘦紧致 / 重心后坐
BD0110,男,隐修型,8头身,饱满力量,微微下沉,男性·隐修型 / 8头身 / 饱满力量 / 微微下沉
BD0111,女,灵巧型,7头身,低脂清晰,侧身戒备,女性·灵巧型 / 7头身 / 低脂清晰 / 侧身戒备
BD0112,女,温和型,8头身,低脂清晰,重心后坐,女性·温和型 / 8头身 / 低脂清晰 / 重心后坐
BD0113,男,游侠型,6.5头身,非战斗肌,重心前倾,男性·游侠型 / 6.5头身 / 非战斗肌 / 重心前倾
BD0114,女,异族型,6.5头身,饱满力量,侧身戒备,女性·异族型 / 6.5头身 / 饱满力量 / 侧身戒备
BD0115,女,修长型,7.5头身,少年未成型,侧身戒备,女性·修长型 / 7.5头身 / 少年未成型 / 侧身戒备
BD0116,女,战斗型,7.5头身,低脂清晰,抱臂而立,女性·战斗型 / 7.5头身 / 低脂清晰 / 抱臂而立
BD0117,男,重装型,7头身,非战斗肌,微微下沉,男性·重装型 / 7头身 / 非战斗肌 / 微微下沉
BD0118,女,精悍型,7头身,饱满力量,重心后坐,女性·精悍型 / 7头身 / 饱满力量 / 重心后坐
BD0119,女,成熟型,6.5头身,低脂清晰,自然站姿,女性·成熟型 / 6.5头身 / 低脂清晰 / 自然站姿
BD0120,女,灵巧型,7.5头身,精瘦紧致,抱臂而立,女性·灵巧型 / 7.5头身 / 精瘦紧致 / 抱臂而立
BD0121,女,战斗型,8头身,饱满力量,侧身戒备,女性·战斗型 / 8头身 / 饱满力量 / 侧身戒备
BD0122,女,异族型,6.5头身,少年未成型,自然站姿,女性·异族型 / 6.5头身 / 少年未成型 / 自然站姿
BD0123,男,智者型,7.5头身,精瘦紧致,自然站姿,男性·智者型 / 7.5头身 / 精瘦紧致 / 自然站姿
BD0124,男,瘦长型,6.5头身,厚实沉稳,自然站姿,男性·瘦长型 / 6.5头身 / 厚实沉稳 / 自然站姿
BD0125,女,灵巧型,7.5头身,病弱纤薄,重心后坐,女性·灵巧型 / 7.5头身 / 病弱纤薄 / 重心后坐
BD0126,男,重装型,7头身,非战斗肌,手扶武器,男性·重装型 / 7头身 / 非战斗肌 / 手扶武器
BD0127,男,力士型,6.5头身,少年未成型,自然站姿,男性·力士型 / 6.5头身 / 少年未成型 / 自然站姿
BD0128,女,丰盈型,8.5头身,精瘦紧致,重心后坐,女性·丰盈型 / 8.5头身 / 精瘦紧致 / 重心后坐
BD0129,男,战士型,6.5头身,饱满力量,侧身戒备,男性·战士型 / 6.5头身 / 饱满力量 / 侧身戒备
BD0130,女,战斗型,7头身,精瘦紧致,放松垂手,女性·战斗型 / 7头身 / 精瘦紧致 / 放松垂手
BD0131,男,战士型,7.5头身,低脂清晰,微微下沉,男性·战士型 / 7.5头身 / 低脂清晰 / 微微下沉
BD0132,男,重装型,8头身,非战斗肌,侧身戒备,男性·重装型 / 8头身 / 非战斗肌 / 侧身戒备
BD0133,男,均衡型,8头身,低脂清晰,重心后坐,男性·均衡型 / 8头身 / 低脂清晰 / 重心后坐
BD0134,男,重装型,7.5头身,病弱纤薄,手扶武器,男性·重装型 / 7.5头身 / 病弱纤薄 / 手扶武器
BD0135,女,精悍型,8头身,少年未成型,抱臂而立,女性·精悍型 / 8头身 / 少年未成型 / 抱臂而立
BD0136,男,力士型,6.5头身,饱满力量,放松垂手,男性·力士型 / 6.5头身 / 饱满力量 / 放松垂手
BD0137,男,隐修型,8.5头身,中等紧实,微微下沉,男性·隐修型 / 8.5头身 / 中等紧实 / 微微下沉
BD0138,男,均衡型,7.5头身,非战斗肌,侧身戒备,男性·均衡型 / 7.5头身 / 非战斗肌 / 侧身戒备
BD0139,女,战斗型,6.5头身,饱满力量,自然站姿,女性·战斗型 / 6.5头身 / 饱满力量 / 自然站姿
BD0140,女,丰盈型,6.5头身,饱满力量,重心前倾,女性·丰盈型 / 6.5头身 / 饱满力量 / 重心前倾
BD0141,男,力士型,6.5头身,饱满力量,重心后坐,男性·力士型 / 6.5头身 / 饱满力量 / 重心后坐
BD0142,女,温和型,8.5头身,病弱纤薄,侧身戒备,女性·温和型 / 8.5头身 / 病弱纤薄 / 侧身戒备
BD0143,男,隐修型,7头身,厚实沉稳,手扶武器,男性·隐修型 / 7头身 / 厚实沉稳 / 手扶武器
BD0144,男,隐修型,8头身,精瘦紧致,放松垂手,男性·隐修型 / 8头身 / 精瘦紧致 / 放松垂手
BD0145,男,重装型,7头身,厚实沉稳,放松垂手,男性·重装型 / 7头身 / 厚实沉稳 / 放松垂手
BD0146,男,力士型,8头身,饱满力量,放松垂手,男性·力士型 / 8头身 / 饱满力量 / 放松垂手
BD0147,男,刺客型,7头身,精瘦紧致,侧身戒备,男性·刺客型 / 7头身 / 精瘦紧致 / 侧身戒备
BD0148,男,游侠型,7.5头身,厚实沉稳,侧身戒备,男性·游侠型 / 7.5头身 / 厚实沉稳 / 侧身戒备
BD0149,男,瘦长型,7.5头身,病弱纤薄,重心后坐,男性·瘦长型 / 7.5头身 / 病弱纤薄 / 重心后坐
BD0150,男,刺客型,7.5头身,饱满力量,自然站姿,男性·刺客型 / 7.5头身 / 饱满力量 / 自然站姿
BD0151,男,游侠型,8头身,少年未成型,放松垂手,男性·游侠型 / 8头身 / 少年未成型 / 放松垂手
BD0152,男,剑士型,8头身,中等紧实,重心后坐,男性·剑士型 / 8头身 / 中等紧实 / 重心后坐
BD0153,男,游侠型,7.5头身,精瘦紧致,自然站姿,男性·游侠型 / 7.5头身 / 精瘦紧致 / 自然站姿
BD0154,男,剑士型,8头身,少年未成型,手扶武器,男性·剑士型 / 8头身 / 少年未成型 / 手扶武器
BD0155,男,游侠型,8头身,精瘦紧致,重心前倾,男性·游侠型 / 8头身 / 精瘦紧致 / 重心前倾
BD0156,女,灵巧型,6.5头身,精瘦紧致,放松垂手,女性·灵巧型 / 6.5头身 / 精瘦紧致 / 放松垂手
BD0157,男,战士型,7头身,厚实沉稳,抱臂而立,男性·战士型 / 7头身 / 厚实沉稳 / 抱臂而立
BD0158,女,修长型,8头身,厚实沉稳,抱臂而立,女性·修长型 / 8头身 / 厚实沉稳 / 抱臂而立
BD0159,男,战士型,7头身,厚实沉稳,重心后坐,男性·战士型 / 7头身 / 厚实沉稳 / 重心后坐
BD0160,女,丰盈型,8.5头身,病弱纤薄,抱臂而立,女性·丰盈型 / 8.5头身 / 病弱纤薄 / 抱臂而立
BD0161,女,温和型,8头身,低脂清晰,放松垂手,女性·温和型 / 8头身 / 低脂清晰 / 放松垂手
BD0162,女,精悍型,8.5头身,低脂清晰,重心前倾,女性·精悍型 / 8.5头身 / 低脂清晰 / 重心前倾
BD0163,女,少女型,7头身,低脂清晰,放松垂手,女性·少女型 / 7头身 / 低脂清晰 / 放松垂手
BD0164,女,战斗型,7.5头身,少年未成型,手扶武器,女性·战斗型 / 7.5头身 / 少年未成型 / 手扶武器
BD0165,男,力士型,6.5头身,少年未成型,重心后坐,男性·力士型 / 6.5头身 / 少年未成型 / 重心后坐
BD0166,男,智者型,7头身,厚实沉稳,重心前倾,男性·智者型 / 7头身 / 厚实沉稳 / 重心前倾
BD0167,女,少女型,7头身,非战斗肌,手扶武器,女性·少女型 / 7头身 / 非战斗肌 / 手扶武器
BD0168,女,灵巧型,7头身,中等紧实,重心前倾,女性·灵巧型 / 7头身 / 中等紧实 / 重心前倾
BD0169,男,刺客型,8.5头身,病弱纤薄,放松垂手,男性·刺客型 / 8.5头身 / 病弱纤薄 / 放松垂手
BD0170,男,剑士型,6.5头身,中等紧实,微微下沉,男性·剑士型 / 6.5头身 / 中等紧实 / 微微下沉
BD0171,男,重装型,7.5头身,精瘦紧致,重心前倾,男性·重装型 / 7.5头身 / 精瘦紧致 / 重心前倾
BD0172,男,力士型,7头身,饱满力量,重心前倾,男性·力士型 / 7头身 / 饱满力量 / 重心前倾
BD0173,女,成熟型,8头身,饱满力量,自然站姿,女性·成熟型 / 8头身 / 饱满力量 / 自然站姿
BD0174,男,均衡型,8.5头身,少年未成型,微微下沉,男性·均衡型 / 8.5头身 / 少年未成型 / 微微下沉
BD0175,男,剑士型,7.5头身,饱满力量,侧身戒备,男性·剑士型 / 7.5头身 / 饱满力量 / 侧身戒备
BD0176,女,异族型,8.5头身,精瘦紧致,抱臂而立,女性·异族型 / 8.5头身 / 精瘦紧致 / 抱臂而立
BD0177,女,战斗型,8.5头身,病弱纤薄,重心后坐,女性·战斗型 / 8.5头身 / 病弱纤薄 / 重心后坐
BD0178,男,重装型,7头身,少年未成型,微微下沉,男性·重装型 / 7头身 / 少年未成型 / 微微下沉
BD0179,女,成熟型,8.5头身,精瘦紧致,自然站姿,女性·成熟型 / 8.5头身 / 精瘦紧致 / 自然站姿
BD0180,女,修长型,8.5头身,厚实沉稳,侧身戒备,女性·修长型 / 8.5头身 / 厚实沉稳 / 侧身戒备
BD0181,女,精悍型,8.5头身,中等紧实,抱臂而立,女性·精悍型 / 8.5头身 / 中等紧实 / 抱臂而立
BD0182,男,刺客型,6.5头身,厚实沉稳,微微下沉,男性·刺客型 / 6.5头身 / 厚实沉稳 / 微微下沉
BD0183,男,力士型,7头身,厚实沉稳,手扶武器,男性·力士型 / 7头身 / 厚实沉稳 / 手扶武器
BD0184,男,隐修型,8头身,少年未成型,重心后坐,男性·隐修型 / 8头身 / 少年未成型 / 重心后坐
BD0185,男,战士型,8头身,少年未成型,手扶武器,男性·战士型 / 8头身 / 少年未成型 / 手扶武器
BD0186,男,重装型,6.5头身,饱满力量,重心前倾,男性·重装型 / 6.5头身 / 饱满力量 / 重心前倾
BD0187,男,智者型,8头身,少年未成型,自然站姿,男性·智者型 / 8头身 / 少年未成型 / 自然站姿
BD0188,男,战士型,8头身,精瘦紧致,自然站姿,男性·战士型 / 8头身 / 精瘦紧致 / 自然站姿
BD0189,男,游侠型,7头身,少年未成型,侧身戒备,男性·游侠型 / 7头身 / 少年未成型 / 侧身戒备
BD0190,男,游侠型,8头身,病弱纤薄,侧身戒备,男性·游侠型 / 8头身 / 病弱纤薄 / 侧身戒备
BD0191,女,修长型,7头身,病弱纤薄,微微下沉,女性·修长型 / 7头身 / 病弱纤薄 / 微微下沉
BD0192,女,成熟型,8.5头身,饱满力量,微微下沉,女性·成熟型 / 8.5头身 / 饱满力量 / 微微下沉
BD0193,男,瘦长型,7.5头身,少年未成型,重心前倾,男性·瘦长型 / 7.5头身 / 少年未成型 / 重心前倾
BD0194,男,隐修型,7头身,饱满力量,侧身戒备,男性·隐修型 / 7头身 / 饱满力量 / 侧身戒备
BD0195,男,重装型,6.5头身,中等紧实,自然站姿,男性·重装型 / 6.5头身 / 中等紧实 / 自然站姿
BD0196,男,剑士型,8.5头身,饱满力量,手扶武器,男性·剑士型 / 8.5头身 / 饱满力量 / 手扶武器
BD0197,女,战斗型,8.5头身,低脂清晰,重心后坐,女性·战斗型 / 8.5头身 / 低脂清晰 / 重心后坐
BD0198,男,均衡型,7.5头身,精瘦紧致,微微下沉,男性·均衡型 / 7.5头身 / 精瘦紧致 / 微微下沉
BD0199,男,瘦长型,8.5头身,厚实沉稳,侧身戒备,男性·瘦长型 / 8.5头身 / 厚实沉稳 / 侧身戒备
BD0200,男,战士型,8头身,非战斗肌,微微下沉,男性·战士型 / 8头身 / 非战斗肌 / 微微下沉
BD0201,男,智者型,7头身,中等紧实,抱臂而立,男性·智者型 / 7头身 / 中等紧实 / 抱臂而立
BD0202,女,猎手型,7.5头身,厚实沉稳,侧身戒备,女性·猎手型 / 7.5头身 / 厚实沉稳 / 侧身戒备
BD0203,女,精悍型,8.5头身,厚实沉稳,重心前倾,女性·精悍型 / 8.5头身 / 厚实沉稳 / 重心前倾
BD0204,男,重装型,8头身,饱满力量,放松垂手,男性·重装型 / 8头身 / 饱满力量 / 放松垂手
BD0205,女,灵巧型,7.5头身,饱满力量,放松垂手,女性·灵巧型 / 7.5头身 / 饱满力量 / 放松垂手
BD0206,男,均衡型,8.5头身,低脂清晰,放松垂手,男性·均衡型 / 8.5头身 / 低脂清晰 / 放松垂手
BD0207,女,战斗型,6.5头身,中等紧实,放松垂手,女性·战斗型 / 6.5头身 / 中等紧实 / 放松垂手
BD0208,男,剑士型,7.5头身,低脂清晰,自然站姿,男性·剑士型 / 7.5头身 / 低脂清晰 / 自然站姿
BD0209,男,智者型,8头身,中等紧实,放松垂手,男性·智者型 / 8头身 / 中等紧实 / 放松垂手
BD0210,男,剑士型,7头身,厚实沉稳,抱臂而立,男性·剑士型 / 7头身 / 厚实沉稳 / 抱臂而立
BD0211,男,力士型,8头身,厚实沉稳,重心后坐,男性·力士型 / 8头身 / 厚实沉稳 / 重心后坐
BD0212,男,剑士型,6.5头身,少年未成型,抱臂而立,男性·剑士型 / 6.5头身 / 少年未成型 / 抱臂而立
BD0213,女,少女型,8.5头身,中等紧实,微微下沉,女性·少女型 / 8.5头身 / 中等紧实 / 微微下沉
BD0214,男,隐修型,6.5头身,中等紧实,放松垂手,男性·隐修型 / 6.5头身 / 中等紧实 / 放松垂手
BD0215,男,瘦长型,7.5头身,病弱纤薄,侧身戒备,男性·瘦长型 / 7.5头身 / 病弱纤薄 / 侧身戒备
BD0216,男,游侠型,7.5头身,非战斗肌,侧身戒备,男性·游侠型 / 7.5头身 / 非战斗肌 / 侧身戒备
BD0217,男,游侠型,7.5头身,饱满力量,重心前倾,男性·游侠型 / 7.5头身 / 饱满力量 / 重心前倾
BD0218,女,修长型,8.5头身,低脂清晰,侧身戒备,女性·修长型 / 8.5头身 / 低脂清晰 / 侧身戒备
BD0219,女,丰盈型,8头身,低脂清晰,自然站姿,女性·丰盈型 / 8头身 / 低脂清晰 / 自然站姿
BD0220,女,丰盈型,7头身,低脂清晰,放松垂手,女性·丰盈型 / 7头身 / 低脂清晰 / 放松垂手
BD0221,女,精悍型,8头身,精瘦紧致,微微下沉,女性·精悍型 / 8头身 / 精瘦紧致 / 微微下沉
BD0222,女,温和型,7.5头身,低脂清晰,抱臂而立,女性·温和型 / 7.5头身 / 低脂清晰 / 抱臂而立
BD0223,女,猎手型,7.5头身,病弱纤薄,放松垂手,女性·猎手型 / 7.5头身 / 病弱纤薄 / 放松垂手
BD0224,女,丰盈型,8.5头身,中等紧实,手扶武器,女性·丰盈型 / 8.5头身 / 中等紧实 / 手扶武器
