face_id,主脸型,辅变化,额头,眉骨,眼窝,颧骨,面颊,下颌,眼型,眼尾,眼距,虹膜,鼻根,鼻梁,鼻头,唇型,嘴角,特殊标志,一句话脸
FD00011,梨形脸,颊部饱满,高额,厚眉骨,宽浅眼窝,外扩颧骨,轻凹面颊,圆方下颌,猫系眼,眼尾明显挑,窄眼距,淡金瞳,窄鼻根,轻微偏左鼻梁,下压鼻头,上薄下厚,嘴角上扬,额角旧痕,梨形脸（颊部饱满），厚眉骨/宽浅眼窝，猫系眼·眼尾明显挑·窄眼距，窄鼻根/轻微偏左鼻梁/下压鼻头，上薄下厚·嘴角上扬，圆方下颌
FD00012,骨感窄脸,颌角弱化,高额,厚眉骨,眼下骨感,柔和颧骨,轻凹面颊,柔和下颌,桃花眼,眼尾微挑,标准眼距,异色瞳,高鼻根,柔和鼻梁,轻翘鼻头,弓形唇,单侧上扬,右眉轻断,骨感窄脸（颌角弱化），厚眉骨/眼下骨感，桃花眼·眼尾微挑·标准眼距，高鼻根/柔和鼻梁/轻翘鼻头，弓形唇·单侧上扬，柔和下颌
FD00013,正梯形脸,下庭收窄,饱满额,外侧突出眉骨,窄深眼窝,柔和颧骨,幼态柔软面颊,骨感下颌,鹤系眼,眼尾下压,窄眼距,灰蓝瞳,高鼻根,高直鼻梁,方圆鼻头,宽嘴,嘴角平直,眼角小痣,正梯形脸（下庭收窄），外侧突出眉骨/窄深眼窝，鹤系眼·眼尾下压·窄眼距，高鼻根/高直鼻梁/方圆鼻头，宽嘴·嘴角平直，骨感下颌
FD00014,下颌突出脸,偏锐收窄,高额,厚眉骨,眼下骨感,窄颧骨,饱满面颊,明显下颌角,鹤系眼,眼尾下压,标准眼距,琥珀瞳,低鼻根,中直鼻梁,小圆鼻头,小嘴,嘴角平直,异色瞳,下颌突出脸（偏锐收窄），厚眉骨/眼下骨感，鹤系眼·眼尾下压·标准眼距，低鼻根/中直鼻梁/小圆鼻头，小嘴·嘴角平直，明显下颌角
FD00015,宽方脸,颊部略凹,低额,压迫感眉骨,浅眼窝,高颧骨,轻凹面颊,骨感下颌,上扬凤眼,眼尾明显挑,标准眼距,灰蓝瞳,低鼻根,微弧鼻梁,下压鼻头,厚唇,嘴角上扬,异色瞳,宽方脸（颊部略凹），压迫感眉骨/浅眼窝，上扬凤眼·眼尾明显挑·标准眼距，低鼻根/微弧鼻梁/下压鼻头，厚唇·嘴角上扬，骨感下颌
FD00016,骨感菱形,偏柔圆润,骨感额,压迫感眉骨,宽浅眼窝,低颧骨,轻凹面颊,骨感下颌,半睁懒眼,眼尾延展,宽眼距,浅褐瞳,高鼻根,高直鼻梁,方圆鼻头,平直唇,嘴角上扬,双侧酒窝,骨感菱形（偏柔圆润），压迫感眉骨/宽浅眼窝，半睁懒眼·眼尾延展·宽眼距，高鼻根/高直鼻梁/方圆鼻头，平直唇·嘴角上扬，骨感下颌
FD00017,长菱形,面中平缓,微凸额,压迫感眉骨,中度眼窝,外扩颧骨,薄面颊,骨感下颌,宽杏眼,眼尾微挑,宽眼距,环状虹膜,高鼻根,微弧鼻梁,方圆鼻头,成熟长唇,嘴角平直,左眼下浅泪痣,长菱形（面中平缓），压迫感眉骨/中度眼窝，宽杏眼·眼尾微挑·宽眼距，高鼻根/微弧鼻梁/方圆鼻头，成熟长唇·嘴角平直，骨感下颌
FD00018,柔和方脸,颌角强调,骨感额,内侧突出眉骨,宽浅眼窝,宽颧骨,幼态柔软面颊,窄下颌,蛇系眼,眼尾明显挑,窄眼距,灰蓝瞳,中鼻根,轻微偏右鼻梁,轻翘鼻头,弓形唇,嘴角平直,右眼下浅泪痣,柔和方脸（颌角强调），内侧突出眉骨/宽浅眼窝，蛇系眼·眼尾明显挑·窄眼距，中鼻根/轻微偏右鼻梁/轻翘鼻头，弓形唇·嘴角平直，窄下颌
FD00019,长心形脸,下颌线柔化,高额,内侧突出眉骨,眼下饱满,窄颧骨,薄面颊,方下颌,长杏眼,眼尾延展,宽眼距,淡金瞳,中高鼻根,微弧鼻梁,方圆鼻头,薄唇,嘴角上扬,眼睑褶皱不对称,长心形脸（下颌线柔化），内侧突出眉骨/眼下饱满，长杏眼·眼尾延展·宽眼距，中高鼻根/微弧鼻梁/方圆鼻头，薄唇·嘴角上扬，方下颌
FD00020,短圆脸,颌角弱化,平直额,低眉骨,眼下饱满,外扩颧骨,薄面颊,宽下颌,丹凤眼,眼尾下压,标准眼距,灰蓝瞳,低鼻根,中直鼻梁,骨感鼻头,厚唇,单侧上扬,下颌浅疤,短圆脸（颌角弱化），低眉骨/眼下饱满，丹凤眼·眼尾下压·标准眼距，低鼻根/中直鼻梁/骨感鼻头，厚唇·单侧上扬，宽下颌
FD00021,倒梯形脸,下庭加重,骨感额,外侧突出眉骨,宽浅眼窝,外扩颧骨,幼态柔软面颊,收敛下颌,瑞凤眼,眼尾微挑,窄眼距,深色瞳,中鼻根,宽骨鼻梁,窄翼鼻头,薄唇,单侧上扬,无标志,倒梯形脸（下庭加重），外侧突出眉骨/宽浅眼窝，瑞凤眼·眼尾微挑·窄眼距，中鼻根/宽骨鼻梁/窄翼鼻头，薄唇·单侧上扬，收敛下颌
FD00022,宽心形脸,颈部线条收短,饱满额,压迫感眉骨,眼下骨感,窄颧骨,饱满面颊,宽下颌,鹤系眼,眼尾平直,窄眼距,淡金瞳,高鼻根,高直鼻梁,下压鼻头,厚唇,单侧上扬,唇下小痣,宽心形脸（颈部线条收短），压迫感眉骨/眼下骨感，鹤系眼·眼尾平直·窄眼距，高鼻根/高直鼻梁/下压鼻头，厚唇·单侧上扬，宽下颌
FD00023,标准菱形,面中平缓,宽额,厚眉骨,窄深眼窝,高颧骨,薄面颊,骨感下颌,短杏眼,眼尾平直,宽眼距,环状虹膜,宽鼻根,轻微偏右鼻梁,窄翼鼻头,弓形唇,嘴角紧收,右眉轻断,标准菱形（面中平缓），厚眉骨/窄深眼窝，短杏眼·眼尾平直·宽眼距，宽鼻根/轻微偏右鼻梁/窄翼鼻头，弓形唇·嘴角紧收，骨感下颌
FD00024,长心形脸,颈部线条收短,饱满额,柔和眉骨,眼下骨感,柔和颧骨,成熟收紧面颊,窄下颌,平凤眼,眼尾下压,标准眼距,淡金瞳,宽鼻根,轻微偏右鼻梁,窄翼鼻头,小嘴,嘴角紧收,碎裂虹膜,长心形脸（颈部线条收短），柔和眉骨/眼下骨感，平凤眼·眼尾下压·标准眼距，宽鼻根/轻微偏右鼻梁/窄翼鼻头，小嘴·嘴角紧收，窄下颌
FD00025,肉感短脸,偏柔圆润,微凸额,薄眉骨,宽浅眼窝,宽颧骨,成熟收紧面颊,骨感下颌,冷感眼,眼尾下沉,窄眼距,浅褐瞳,中高鼻根,宽骨鼻梁,微钝鼻头,成熟长唇,单侧上扬,双侧酒窝,肉感短脸（偏柔圆润），薄眉骨/宽浅眼窝，冷感眼·眼尾下沉·窄眼距，中高鼻根/宽骨鼻梁/微钝鼻头，成熟长唇·单侧上扬，骨感下颌
FD00026,肉感短脸,中庭拉长,平直额,外侧突出眉骨,窄深眼窝,外扩颧骨,饱满面颊,窄下颌,短圆杏眼,眼尾延展,宽眼距,墨玉瞳,中高鼻根,中直鼻梁,微钝鼻头,厚唇,嘴角紧收,单侧虎牙,肉感短脸（中庭拉长），外侧突出眉骨/窄深眼窝，短圆杏眼·眼尾延展·宽眼距，中高鼻根/中直鼻梁/微钝鼻头，厚唇·嘴角紧收，窄下颌
FD00027,心形脸,骨点内敛,宽额,压迫感眉骨,眼下饱满,宽颧骨,成熟收紧面颊,收敛下颌,柳叶眼,眼尾微挑,窄眼距,淡金瞳,低鼻根,宽骨鼻梁,窄翼鼻头,小嘴,嘴角紧收,唇下小痣,心形脸（骨点内敛），压迫感眉骨/眼下饱满，柳叶眼·眼尾微挑·窄眼距，低鼻根/宽骨鼻梁/窄翼鼻头，小嘴·嘴角紧收，收敛下颌
FD00028,下颌突出脸,中轴微长,高额,压迫感眉骨,窄深眼窝,低颧骨,成熟收紧面颊,骨感下颌,猫系眼,眼尾平直,标准眼距,星点虹膜,中鼻根,轻微偏左鼻梁,骨感鼻头,小嘴,嘴角紧收,环状虹膜,下颌突出脸（中轴微长），压迫感眉骨/窄深眼窝，猫系眼·眼尾平直·标准眼距，中鼻根/轻微偏左鼻梁/骨感鼻头，小嘴·嘴角紧收，骨感下颌
FD00029,双颌匀称脸,颊部饱满,平直额,压迫感眉骨,深眼窝,外扩颧骨,薄面颊,圆方下颌,疲惫眼,眼尾微挑,宽眼距,浅褐瞳,高鼻根,轻微偏右鼻梁,肉感鼻头,成熟长唇,嘴角下垂,唇下小痣,双颌匀称脸（颊部饱满），压迫感眉骨/深眼窝，疲惫眼·眼尾微挑·宽眼距，高鼻根/轻微偏右鼻梁/肉感鼻头，成熟长唇·嘴角下垂，圆方下颌
FD00030,幼态方脸,中轴微长,微凸额,压迫感眉骨,浅眼窝,窄颧骨,成熟收紧面颊,方下颌,狭长眼,眼尾下沉,宽眼距,淡金瞳,宽鼻根,轻微偏右鼻梁,肉感鼻头,厚唇,嘴角上扬,碎裂虹膜,幼态方脸（中轴微长），压迫感眉骨/浅眼窝，狭长眼·眼尾下沉·宽眼距，宽鼻根/轻微偏右鼻梁/肉感鼻头，厚唇·嘴角上扬，方下颌
FD00031,长菱形,颊部略凹,窄额,厚眉骨,深眼窝,宽颧骨,幼态柔软面颊,窄下颌,平凤眼,眼尾下沉,窄眼距,琥珀瞳,宽鼻根,轻鹰钩鼻梁,下压鼻头,小嘴,嘴角上扬,右眉轻断,长菱形（颊部略凹），厚眉骨/深眼窝，平凤眼·眼尾下沉·窄眼距，宽鼻根/轻鹰钩鼻梁/下压鼻头，小嘴·嘴角上扬，窄下颌
FD00032,倒梯形脸,颊部饱满,宽额,内侧突出眉骨,深眼窝,窄颧骨,成熟收紧面颊,窄下颌,鹤系眼,眼尾下压,标准眼距,琥珀瞳,中鼻根,轻微偏左鼻梁,窄翼鼻头,小嘴,嘴角下垂,右眼下浅泪痣,倒梯形脸（颊部饱满），内侧突出眉骨/深眼窝，鹤系眼·眼尾下压·标准眼距，中鼻根/轻微偏左鼻梁/窄翼鼻头，小嘴·嘴角下垂，窄下颌
FD00033,正梯形脸,下颌线清晰化,平直额,薄眉骨,眼下饱满,低颧骨,成熟收紧面颊,宽下颌,狼系眼,眼尾微挑,标准眼距,异色瞳,高鼻根,宽骨鼻梁,方圆鼻头,上厚下薄,嘴角紧收,双侧酒窝,正梯形脸（下颌线清晰化），薄眉骨/眼下饱满，狼系眼·眼尾微挑·标准眼距，高鼻根/宽骨鼻梁/方圆鼻头，上厚下薄·嘴角紧收，宽下颌
FD00034,颧部展开脸,骨点外显,微凸额,厚眉骨,眼下饱满,柔和颧骨,幼态柔软面颊,收敛下颌,瑞凤眼,眼尾明显挑,标准眼距,碎裂虹膜,中鼻根,轻鹰钩鼻梁,微钝鼻头,厚唇,嘴角下垂,鼻梁旧伤,颧部展开脸（骨点外显），厚眉骨/眼下饱满，瑞凤眼·眼尾明显挑·标准眼距，中鼻根/轻鹰钩鼻梁/微钝鼻头，厚唇·嘴角下垂，收敛下颌
FD00035,柔和方脸,下颌线清晰化,宽额,薄眉骨,窄深眼窝,宽颧骨,幼态柔软面颊,窄下颌,猫系眼,眼尾延展,标准眼距,星点虹膜,低鼻根,中直鼻梁,窄翼鼻头,上厚下薄,嘴角下垂,指节薄茧,柔和方脸（下颌线清晰化），薄眉骨/窄深眼窝，猫系眼·眼尾延展·标准眼距，低鼻根/中直鼻梁/窄翼鼻头，上厚下薄·嘴角下垂，窄下颌
FD00036,长圆脸,颧部微收,宽额,压迫感眉骨,宽浅眼窝,高颧骨,轻凹面颊,窄下颌,短圆杏眼,眼尾下压,标准眼距,星点虹膜,高鼻根,微弧鼻梁,窄翼鼻头,平直唇,嘴角紧收,下颌浅疤,长圆脸（颧部微收），压迫感眉骨/宽浅眼窝，短圆杏眼·眼尾下压·标准眼距，高鼻根/微弧鼻梁/窄翼鼻头，平直唇·嘴角紧收，窄下颌
FD00037,骨感菱形,颊部饱满,平直额,压迫感眉骨,深眼窝,低颧骨,成熟收紧面颊,骨感下颌,半睁懒眼,眼尾下沉,标准眼距,淡金瞳,中鼻根,高直鼻梁,方圆鼻头,小嘴,嘴角紧收,眉尾旧疤,骨感菱形（颊部饱满），压迫感眉骨/深眼窝，半睁懒眼·眼尾下沉·标准眼距，中鼻根/高直鼻梁/方圆鼻头，小嘴·嘴角紧收，骨感下颌
FD00038,圆脸,偏柔圆润,骨感额,厚眉骨,宽浅眼窝,窄颧骨,轻凹面颊,收敛下颌,鹿系眼,眼尾平直,宽眼距,碎裂虹膜,中鼻根,轻微偏右鼻梁,方圆鼻头,上厚下薄,嘴角平直,单侧酒窝,圆脸（偏柔圆润），厚眉骨/宽浅眼窝，鹿系眼·眼尾平直·宽眼距，中鼻根/轻微偏右鼻梁/方圆鼻头，上厚下薄·嘴角平直，收敛下颌
FD00039,清瘦圆脸,中庭展宽,微凸额,高眉骨,眼下骨感,宽颧骨,幼态柔软面颊,窄下颌,丹凤眼,眼尾下压,宽眼距,异色瞳,中鼻根,轻鹰钩鼻梁,窄翼鼻头,上厚下薄,单侧上扬,右眉轻断,清瘦圆脸（中庭展宽），高眉骨/眼下骨感，丹凤眼·眼尾下压·宽眼距，中鼻根/轻鹰钩鼻梁/窄翼鼻头，上厚下薄·单侧上扬，窄下颌
FD00040,幼态圆脸,上庭收窄,窄额,厚眉骨,浅眼窝,低颧骨,薄面颊,窄下颌,平直杏眼,眼尾平直,标准眼距,碎裂虹膜,中鼻根,柔和鼻梁,小圆鼻头,薄唇,单侧上扬,碎裂虹膜,幼态圆脸（上庭收窄），厚眉骨/浅眼窝，平直杏眼·眼尾平直·标准眼距，中鼻根/柔和鼻梁/小圆鼻头，薄唇·单侧上扬，窄下颌
FD00041,柔和方脸,颈部线条收短,高额,内侧突出眉骨,宽浅眼窝,外扩颧骨,饱满面颊,收敛下颌,圆长眼,眼尾下沉,窄眼距,星点虹膜,高鼻根,高直鼻梁,轻翘鼻头,小嘴,嘴角下垂,耳后小痣,柔和方脸（颈部线条收短），内侧突出眉骨/宽浅眼窝，圆长眼·眼尾下沉·窄眼距，高鼻根/高直鼻梁/轻翘鼻头，小嘴·嘴角下垂，收敛下颌
FD00042,宽方脸,颧部外扩,低额,高眉骨,深眼窝,柔和颧骨,成熟收紧面颊,宽下颌,狼系眼,眼尾延展,宽眼距,碎裂虹膜,窄鼻根,宽骨鼻梁,小圆鼻头,厚唇,单侧上扬,异色瞳,宽方脸（颧部外扩），高眉骨/深眼窝，狼系眼·眼尾延展·宽眼距，窄鼻根/宽骨鼻梁/小圆鼻头，厚唇·单侧上扬，宽下颌
FD00043,成熟方脸,骨点外显,低额,压迫感眉骨,中度眼窝,高颧骨,薄面颊,圆方下颌,狭长眼,眼尾下压,标准眼距,碎裂虹膜,窄鼻根,轻鹰钩鼻梁,小圆鼻头,平直唇,嘴角紧收,眉上小疤,成熟方脸（骨点外显），压迫感眉骨/中度眼窝，狭长眼·眼尾下压·标准眼距，窄鼻根/轻鹰钩鼻梁/小圆鼻头，平直唇·嘴角紧收，圆方下颌
FD00044,心形脸,上庭展开,宽额,压迫感眉骨,浅眼窝,低颧骨,饱满面颊,宽下颌,鹿系眼,眼尾下压,宽眼距,环状虹膜,宽鼻根,轻微偏左鼻梁,肉感鼻头,弓形唇,嘴角紧收,颈侧细疤,心形脸（上庭展开），压迫感眉骨/浅眼窝，鹿系眼·眼尾下压·宽眼距，宽鼻根/轻微偏左鼻梁/肉感鼻头，弓形唇·嘴角紧收，宽下颌
FD00045,骨感窄脸,骨点外显,平直额,薄眉骨,浅眼窝,宽颧骨,轻凹面颊,骨感下颌,窄杏眼,眼尾延展,宽眼距,灰蓝瞳,中鼻根,高直鼻梁,微钝鼻头,薄唇,嘴角平直,单侧虎牙,骨感窄脸（骨点外显），薄眉骨/浅眼窝，窄杏眼·眼尾延展·宽眼距，中鼻根/高直鼻梁/微钝鼻头，薄唇·嘴角平直，骨感下颌
FD00046,长圆脸,上庭展开,低额,柔和眉骨,中度眼窝,柔和颧骨,轻凹面颊,宽下颌,圆长眼,眼尾下沉,窄眼距,碎裂虹膜,中鼻根,宽骨鼻梁,骨感鼻头,平直唇,嘴角上扬,单侧酒窝,长圆脸（上庭展开），柔和眉骨/中度眼窝，圆长眼·眼尾下沉·窄眼距，中鼻根/宽骨鼻梁/骨感鼻头，平直唇·嘴角上扬，宽下颌
FD00047,长心形脸,中庭拉长,平直额,厚眉骨,宽浅眼窝,柔和颧骨,轻凹面颊,宽下颌,冷感眼,眼尾延展,窄眼距,异色瞳,中高鼻根,中直鼻梁,方圆鼻头,成熟长唇,单侧上扬,无标志,长心形脸（中庭拉长），厚眉骨/宽浅眼窝，冷感眼·眼尾延展·窄眼距，中高鼻根/中直鼻梁/方圆鼻头，成熟长唇·单侧上扬，宽下颌
FD00048,长圆脸,下庭加重,骨感额,外侧突出眉骨,浅眼窝,高颧骨,幼态柔软面颊,收敛下颌,短杏眼,眼尾延展,窄眼距,浅褐瞳,中鼻根,轻鹰钩鼻梁,小圆鼻头,上薄下厚,嘴角平直,碎裂虹膜,长圆脸（下庭加重），外侧突出眉骨/浅眼窝，短杏眼·眼尾延展·窄眼距，中鼻根/轻鹰钩鼻梁/小圆鼻头，上薄下厚·嘴角平直，收敛下颌
FD00049,宽方脸,中庭展宽,高额,低眉骨,中度眼窝,低颧骨,幼态柔软面颊,方下颌,成熟长眼,眼尾平直,标准眼距,琥珀瞳,低鼻根,宽骨鼻梁,微钝鼻头,小嘴,嘴角下垂,耳后小痣,宽方脸（中庭展宽），低眉骨/中度眼窝，成熟长眼·眼尾平直·标准眼距，低鼻根/宽骨鼻梁/微钝鼻头，小嘴·嘴角下垂，方下颌
FD00050,标准菱形,中轴微长,低额,薄眉骨,窄深眼窝,低颧骨,饱满面颊,柔和下颌,冷感眼,眼尾微挑,标准眼距,墨玉瞳,窄鼻根,柔和鼻梁,肉感鼻头,成熟长唇,单侧上扬,单侧酒窝,标准菱形（中轴微长），薄眉骨/窄深眼窝，冷感眼·眼尾微挑·标准眼距，窄鼻根/柔和鼻梁/肉感鼻头，成熟长唇·单侧上扬，柔和下颌
FD00051,宽心形脸,下颌线清晰化,低额,厚眉骨,宽浅眼窝,低颧骨,成熟收紧面颊,骨感下颌,狭长眼,眼尾延展,标准眼距,深色瞳,高鼻根,高直鼻梁,窄翼鼻头,上厚下薄,嘴角下垂,下颌浅疤,宽心形脸（下颌线清晰化），厚眉骨/宽浅眼窝，狭长眼·眼尾延展·标准眼距，高鼻根/高直鼻梁/窄翼鼻头，上厚下薄·嘴角下垂，骨感下颌
FD00052,心形脸,下庭收窄,宽额,低眉骨,宽浅眼窝,宽颧骨,幼态柔软面颊,方下颌,丹凤眼,眼尾延展,窄眼距,琥珀瞳,低鼻根,轻微偏左鼻梁,下压鼻头,弓形唇,单侧上扬,瞳孔残缺,心形脸（下庭收窄），低眉骨/宽浅眼窝，丹凤眼·眼尾延展·窄眼距，低鼻根/轻微偏左鼻梁/下压鼻头，弓形唇·单侧上扬，方下颌
FD00053,窄方脸,偏柔圆润,平直额,高眉骨,深眼窝,外扩颧骨,成熟收紧面颊,骨感下颌,丹凤眼,眼尾延展,宽眼距,灰蓝瞳,中高鼻根,中直鼻梁,下压鼻头,厚唇,嘴角上扬,右眼下浅泪痣,窄方脸（偏柔圆润），高眉骨/深眼窝，丹凤眼·眼尾延展·宽眼距，中高鼻根/中直鼻梁/下压鼻头，厚唇·嘴角上扬，骨感下颌
FD00054,肉感短脸,上庭展开,高额,内侧突出眉骨,眼下饱满,窄颧骨,轻凹面颊,骨感下颌,长杏眼,眼尾下压,标准眼距,琥珀瞳,窄鼻根,高直鼻梁,窄翼鼻头,弓形唇,嘴角平直,左眼下浅泪痣,肉感短脸（上庭展开），内侧突出眉骨/眼下饱满，长杏眼·眼尾下压·标准眼距，窄鼻根/高直鼻梁/窄翼鼻头，弓形唇·嘴角平直，骨感下颌
FD00055,标准菱形,颧部微收,窄额,高眉骨,中度眼窝,窄颧骨,成熟收紧面颊,窄下颌,柳叶眼,眼尾明显挑,宽眼距,异色瞳,中高鼻根,柔和鼻梁,微钝鼻头,小嘴,嘴角平直,异色瞳,标准菱形（颧部微收），高眉骨/中度眼窝，柳叶眼·眼尾明显挑·宽眼距，中高鼻根/柔和鼻梁/微钝鼻头，小嘴·嘴角平直，窄下颌
FD00056,幼态圆脸,颌角强调,窄额,柔和眉骨,窄深眼窝,窄颧骨,轻凹面颊,窄下颌,少年圆眼,眼尾延展,窄眼距,深色瞳,中鼻根,轻微偏左鼻梁,下压鼻头,小嘴,嘴角上扬,眼睑褶皱不对称,幼态圆脸（颌角强调），柔和眉骨/窄深眼窝，少年圆眼·眼尾延展·窄眼距，中鼻根/轻微偏左鼻梁/下压鼻头，小嘴·嘴角上扬，窄下颌
FD00057,颧部展开脸,面中立体化,低额,高眉骨,浅眼窝,柔和颧骨,饱满面颊,骨感下颌,柳叶眼,眼尾延展,宽眼距,灰蓝瞳,中高鼻根,轻鹰钩鼻梁,方圆鼻头,成熟长唇,嘴角平直,无标志,颧部展开脸（面中立体化），高眉骨/浅眼窝，柳叶眼·眼尾延展·宽眼距，中高鼻根/轻鹰钩鼻梁/方圆鼻头，成熟长唇·嘴角平直，骨感下颌
FD00058,倒三角脸,颈部线条收短,骨感额,厚眉骨,眼下骨感,宽颧骨,轻凹面颊,窄下颌,下垂眼,眼尾下压,宽眼距,灰蓝瞳,中高鼻根,轻微偏右鼻梁,小圆鼻头,成熟长唇,嘴角平直,环状虹膜,倒三角脸（颈部线条收短），厚眉骨/眼下骨感，下垂眼·眼尾下压·宽眼距，中高鼻根/轻微偏右鼻梁/小圆鼻头，成熟长唇·嘴角平直，窄下颌
FD00059,颧部展开脸,骨点外显,饱满额,压迫感眉骨,浅眼窝,低颧骨,幼态柔软面颊,窄下颌,猫系眼,眼尾微挑,窄眼距,淡金瞳,中鼻根,柔和鼻梁,方圆鼻头,薄唇,单侧上扬,右眼下浅泪痣,颧部展开脸（骨点外显），压迫感眉骨/浅眼窝，猫系眼·眼尾微挑·窄眼距，中鼻根/柔和鼻梁/方圆鼻头，薄唇·单侧上扬，窄下颌
FD00060,宽心形脸,下庭加重,平直额,柔和眉骨,宽浅眼窝,窄颧骨,薄面颊,柔和下颌,瑞凤眼,眼尾平直,窄眼距,异色瞳,中高鼻根,轻微偏左鼻梁,微钝鼻头,平直唇,嘴角紧收,无标志,宽心形脸（下庭加重），柔和眉骨/宽浅眼窝，瑞凤眼·眼尾平直·窄眼距，中高鼻根/轻微偏左鼻梁/微钝鼻头，平直唇·嘴角紧收，柔和下颌
