domain_id,类型,名称,触发,范围,规则,限制,优势,代价,破坏方式
DM0027,感知领域,感知·画地为界,画地为界,自身为心,语言即成真,每次不超过三息,封锁退路,血液,同时攻击内外两侧
DM0028,温度领域,温度·静立不动,静立不动,一整个房间,影与本体互换,每次不超过三息,抢先手,体温,让施术者说出真名
DM0029,温度领域,温度·吞下媒介,吞下媒介,半径三步,进入者被记录,每次不超过三息,地形绝对化,感官,用同源规则对冲
DM0030,概念领域,概念·击掌触发,击掌触发,半径三步,位置可被抵押,需持续消耗,团队增益,感官,破坏触发条件
DM0031,生命领域,生命·画地为界,画地为界,半径三步,影与本体互换,对同一目标只生效一次,地形绝对化,体温,击碎中心锚点
DM0032,规则领域,规则·咏唱三息,咏唱三息,视线之内,某种力消失,范围内自己同样受限,制造不可预测,身份痕迹,击碎中心锚点
DM0033,重力领域,重力·受创反启,受创反启,视线之内,距离被改写,需持续消耗,地形绝对化,体温,破坏触发条件
DM0034,感知领域,感知·击掌触发,击掌触发,半径三步,结果可被替换,施术者不能移动,地形绝对化,感官,用同源规则对冲
DM0035,重力领域,重力·静立不动,静立不动,自身为心,距离被改写,对同一目标只生效一次,封锁退路,记忆,用同源规则对冲
DM0036,因果领域,因果·画地为界,画地为界,半径三步,结果可被替换,每次不超过三息,团队增益,血液,击碎中心锚点
DM0037,影之领域,影之·画地为界,画地为界,视线之内,进入者被记录,对同一目标只生效一次,封锁退路,身份痕迹,破坏触发条件
DM0038,声音领域,声音·以血为引,以血为引,半径三步,某种力消失,需持续消耗,封锁退路,感官,用同源规则对冲
DM0039,规则领域,规则·吞下媒介,吞下媒介,视线之内,速度分层,每次不超过三息,团队增益,感官,击碎中心锚点
DM0040,空间领域,空间·以血为引,以血为引,百步方圆,语言即成真,对同一目标只生效一次,封锁退路,血液,用同源规则对冲
DM0041,材料领域,材料·画地为界,画地为界,百步方圆,重量可被赋予,破界即反噬,制造不可预测,寿命,用同源规则对冲
DM0042,规则领域,规则·咏唱三息,咏唱三息,百步方圆,进入者被记录,破界即反噬,抢先手,寿命,同时攻击内外两侧
DM0043,空间领域,空间·画地为界,画地为界,百步方圆,重量可被赋予,需持续消耗,地形绝对化,寿命,同时攻击内外两侧
DM0044,规则领域,规则·受创反启,受创反启,百步方圆,某种力消失,施术者不能移动,抢先手,体温,用同源规则对冲
DM0045,声音领域,声音·吞下媒介,吞下媒介,自身为心,速度分层,对同一目标只生效一次,制造不可预测,寿命,让施术者说出真名
DM0046,空间领域,空间·画地为界,画地为界,一整个房间,语言即成真,对同一目标只生效一次,制造不可预测,寿命,同时攻击内外两侧
DM0047,概念领域,概念·咏唱三息,咏唱三息,半径三步,距离被改写,每次不超过三息,制造不可预测,体温,破坏触发条件
DM0048,声音领域,声音·吞下媒介,吞下媒介,半径三步,重量可被赋予,每次不超过三息,抢先手,寿命,用同源规则对冲
DM0049,规则领域,规则·吞下媒介,吞下媒介,一整个房间,重量可被赋予,施术者不能移动,抢先手,体温,让施术者说出真名
DM0050,影之领域,影之·受创反启,受创反启,半径三步,方向不再可信,需持续消耗,抢先手,感官,用同源规则对冲
DM0051,因果领域,因果·睁眼即启,睁眼即启,一条战线,语言即成真,每次不超过三息,抢先手,身份痕迹,用同源规则对冲
DM0052,声音领域,声音·画地为界,画地为界,半径三步,语言即成真,需持续消耗,地形绝对化,血液,击碎中心锚点
DM0053,规则领域,规则·睁眼即启,睁眼即启,半径三步,速度分层,每次不超过三息,团队增益,寿命,用同源规则对冲
DM0054,时间领域,时间·受创反启,受创反启,半径三步,结果可被替换,破界即反噬,封锁退路,体温,破坏触发条件
DM0055,概念领域,概念·画地为界,画地为界,自身为心,影与本体互换,施术者不能移动,封锁退路,感官,同时攻击内外两侧
DM0056,材料领域,材料·咏唱三息,咏唱三息,半径三步,位置可被抵押,每次不超过三息,封锁退路,体温,破坏触发条件
DM0057,空间领域,空间·击掌触发,击掌触发,一整个房间,某种力消失,施术者不能移动,团队增益,记忆,击碎中心锚点
DM0058,概念领域,概念·击掌触发,击掌触发,视线之内,重量可被赋予,范围内自己同样受限,制造不可预测,记忆,用同源规则对冲
DM0059,材料领域,材料·以血为引,以血为引,百步方圆,某种力消失,需持续消耗,封锁退路,寿命,让施术者说出真名
DM0060,时间领域,时间·击掌触发,击掌触发,一条战线,距离被改写,每次不超过三息,制造不可预测,体温,破坏触发条件
DM0061,声音领域,声音·击掌触发,击掌触发,自身为心,影与本体互换,施术者不能移动,地形绝对化,寿命,同时攻击内外两侧
DM0062,规则领域,规则·吞下媒介,吞下媒介,自身为心,语言即成真,每次不超过三息,封锁退路,血液,用同源规则对冲
DM0063,影之领域,影之·静立不动,静立不动,自身为心,影与本体互换,破界即反噬,抢先手,感官,击碎中心锚点
DM0064,材料领域,材料·静立不动,静立不动,百步方圆,距离被改写,破界即反噬,地形绝对化,感官,击碎中心锚点
DM0065,时间领域,时间·静立不动,静立不动,半径三步,进入者被记录,破界即反噬,团队增益,体温,同时攻击内外两侧
DM0066,影之领域,影之·静立不动,静立不动,百步方圆,距离被改写,施术者不能移动,团队增益,身份痕迹,破坏触发条件
DM0067,重力领域,重力·受创反启,受创反启,半径三步,进入者被记录,需持续消耗,制造不可预测,感官,击碎中心锚点
DM0068,温度领域,温度·以血为引,以血为引,视线之内,语言即成真,范围内自己同样受限,团队增益,体温,破坏触发条件
DM0069,影之领域,影之·画地为界,画地为界,自身为心,某种力消失,需持续消耗,封锁退路,记忆,用同源规则对冲
DM0070,重力领域,重力·受创反启,受创反启,一整个房间,某种力消失,施术者不能移动,地形绝对化,感官,用同源规则对冲
DM0071,声音领域,声音·以血为引,以血为引,视线之内,语言即成真,对同一目标只生效一次,制造不可预测,血液,让施术者说出真名
DM0072,材料领域,材料·咏唱三息,咏唱三息,百步方圆,方向不再可信,破界即反噬,抢先手,血液,让施术者说出真名
DM0073,生命领域,生命·咏唱三息,咏唱三息,百步方圆,方向不再可信,施术者不能移动,团队增益,感官,破坏触发条件
DM0074,时间领域,时间·画地为界,画地为界,百步方圆,某种力消失,每次不超过三息,地形绝对化,记忆,击碎中心锚点
DM0075,规则领域,规则·吞下媒介,吞下媒介,一整个房间,结果可被替换,需持续消耗,抢先手,寿命,同时攻击内外两侧
DM0076,重力领域,重力·击掌触发,击掌触发,一整个房间,语言即成真,需持续消耗,制造不可预测,体温,同时攻击内外两侧
DM0077,温度领域,温度·咏唱三息,咏唱三息,一条战线,距离被改写,破界即反噬,抢先手,体温,击碎中心锚点
DM0078,规则领域,规则·以血为引,以血为引,半径三步,位置可被抵押,破界即反噬,团队增益,寿命,同时攻击内外两侧
DM0079,温度领域,温度·咏唱三息,咏唱三息,一条战线,语言即成真,需持续消耗,抢先手,体温,同时攻击内外两侧
DM0080,概念领域,概念·睁眼即启,睁眼即启,视线之内,距离被改写,施术者不能移动,地形绝对化,寿命,破坏触发条件
DM0081,因果领域,因果·画地为界,画地为界,一整个房间,位置可被抵押,对同一目标只生效一次,地形绝对化,身份痕迹,破坏触发条件
DM0082,规则领域,规则·画地为界,画地为界,一整个房间,速度分层,破界即反噬,制造不可预测,血液,用同源规则对冲
DM0083,材料领域,材料·睁眼即启,睁眼即启,视线之内,距离被改写,对同一目标只生效一次,团队增益,身份痕迹,用同源规则对冲
DM0084,重力领域,重力·以血为引,以血为引,半径三步,结果可被替换,对同一目标只生效一次,抢先手,寿命,用同源规则对冲
DM0085,感知领域,感知·受创反启,受创反启,百步方圆,结果可被替换,对同一目标只生效一次,抢先手,体温,让施术者说出真名
DM0086,温度领域,温度·受创反启,受创反启,视线之内,进入者被记录,范围内自己同样受限,抢先手,血液,破坏触发条件
DM0087,影之领域,影之·咏唱三息,咏唱三息,视线之内,进入者被记录,破界即反噬,地形绝对化,血液,用同源规则对冲
DM0088,重力领域,重力·咏唱三息,咏唱三息,百步方圆,某种力消失,每次不超过三息,封锁退路,体温,让施术者说出真名
DM0089,感知领域,感知·画地为界,画地为界,自身为心,结果可被替换,施术者不能移动,制造不可预测,体温,让施术者说出真名
DM0090,规则领域,规则·吞下媒介,吞下媒介,半径三步,进入者被记录,需持续消耗,抢先手,寿命,同时攻击内外两侧
DM0091,感知领域,感知·受创反启,受创反启,一条战线,某种力消失,每次不超过三息,抢先手,血液,让施术者说出真名
DM0092,重力领域,重力·击掌触发,击掌触发,一整个房间,重量可被赋予,对同一目标只生效一次,封锁退路,记忆,同时攻击内外两侧
DM0093,温度领域,温度·击掌触发,击掌触发,一整个房间,进入者被记录,对同一目标只生效一次,地形绝对化,记忆,击碎中心锚点
DM0094,因果领域,因果·吞下媒介,吞下媒介,视线之内,影与本体互换,施术者不能移动,团队增益,记忆,同时攻击内外两侧
DM0095,材料领域,材料·静立不动,静立不动,自身为心,结果可被替换,破界即反噬,封锁退路,感官,让施术者说出真名
DM0096,时间领域,时间·击掌触发,击掌触发,一整个房间,重量可被赋予,需持续消耗,地形绝对化,身份痕迹,同时攻击内外两侧
DM0097,材料领域,材料·画地为界,画地为界,一条战线,速度分层,需持续消耗,抢先手,血液,破坏触发条件
DM0098,感知领域,感知·受创反启,受创反启,自身为心,重量可被赋予,每次不超过三息,封锁退路,记忆,击碎中心锚点
DM0099,空间领域,空间·睁眼即启,睁眼即启,一条战线,距离被改写,每次不超过三息,团队增益,身份痕迹,让施术者说出真名
DM0100,材料领域,材料·以血为引,以血为引,自身为心,重量可被赋予,范围内自己同样受限,地形绝对化,记忆,用同源规则对冲
DM0101,因果领域,因果·睁眼即启,睁眼即启,自身为心,结果可被替换,每次不超过三息,制造不可预测,感官,用同源规则对冲
DM0102,生命领域,生命·睁眼即启,睁眼即启,一整个房间,语言即成真,破界即反噬,团队增益,体温,同时攻击内外两侧
DM0103,规则领域,规则·静立不动,静立不动,半径三步,某种力消失,每次不超过三息,抢先手,身份痕迹,破坏触发条件
DM0104,温度领域,温度·吞下媒介,吞下媒介,视线之内,语言即成真,破界即反噬,团队增益,记忆,让施术者说出真名
DM0105,因果领域,因果·画地为界,画地为界,一条战线,进入者被记录,对同一目标只生效一次,封锁退路,寿命,用同源规则对冲
DM0106,因果领域,因果·吞下媒介,吞下媒介,视线之内,结果可被替换,对同一目标只生效一次,封锁退路,身份痕迹,击碎中心锚点
DM0107,影之领域,影之·吞下媒介,吞下媒介,半径三步,结果可被替换,每次不超过三息,地形绝对化,血液,让施术者说出真名
DM0108,温度领域,温度·睁眼即启,睁眼即启,百步方圆,速度分层,每次不超过三息,团队增益,血液,同时攻击内外两侧
DM0109,感知领域,感知·咏唱三息,咏唱三息,百步方圆,方向不再可信,施术者不能移动,地形绝对化,记忆,破坏触发条件
DM0110,感知领域,感知·以血为引,以血为引,百步方圆,某种力消失,对同一目标只生效一次,制造不可预测,身份痕迹,破坏触发条件
DM0111,概念领域,概念·吞下媒介,吞下媒介,视线之内,某种力消失,对同一目标只生效一次,封锁退路,血液,同时攻击内外两侧
DM0112,声音领域,声音·吞下媒介,吞下媒介,一条战线,位置可被抵押,每次不超过三息,团队增益,血液,击碎中心锚点
DM0113,时间领域,时间·以血为引,以血为引,一条战线,重量可被赋予,对同一目标只生效一次,团队增益,感官,用同源规则对冲
DM0114,材料领域,材料·静立不动,静立不动,一整个房间,影与本体互换,施术者不能移动,制造不可预测,寿命,击碎中心锚点
DM0115,生命领域,生命·吞下媒介,吞下媒介,自身为心,位置可被抵押,每次不超过三息,地形绝对化,身份痕迹,破坏触发条件
DM0116,温度领域,温度·吞下媒介,吞下媒介,视线之内,影与本体互换,施术者不能移动,抢先手,感官,让施术者说出真名
DM0117,温度领域,温度·击掌触发,击掌触发,百步方圆,某种力消失,施术者不能移动,抢先手,血液,用同源规则对冲
DM0118,概念领域,概念·受创反启,受创反启,半径三步,进入者被记录,破界即反噬,抢先手,寿命,同时攻击内外两侧
DM0119,时间领域,时间·睁眼即启,睁眼即启,一整个房间,速度分层,每次不超过三息,制造不可预测,身份痕迹,用同源规则对冲
DM0120,时间领域,时间·受创反启,受创反启,自身为心,进入者被记录,每次不超过三息,制造不可预测,寿命,让施术者说出真名
DM0121,材料领域,材料·以血为引,以血为引,半径三步,进入者被记录,对同一目标只生效一次,团队增益,血液,击碎中心锚点
DM0122,感知领域,感知·睁眼即启,睁眼即启,半径三步,语言即成真,需持续消耗,抢先手,感官,破坏触发条件
DM0123,材料领域,材料·画地为界,画地为界,半径三步,影与本体互换,每次不超过三息,封锁退路,血液,用同源规则对冲
DM0124,概念领域,概念·睁眼即启,睁眼即启,百步方圆,位置可被抵押,破界即反噬,抢先手,身份痕迹,击碎中心锚点
DM0125,影之领域,影之·受创反启,受创反启,一条战线,进入者被记录,需持续消耗,制造不可预测,感官,击碎中心锚点
DM0126,感知领域,感知·吞下媒介,吞下媒介,自身为心,速度分层,破界即反噬,封锁退路,血液,破坏触发条件
DM0127,声音领域,声音·画地为界,画地为界,自身为心,某种力消失,范围内自己同样受限,团队增益,感官,用同源规则对冲
DM0128,重力领域,重力·睁眼即启,睁眼即启,百步方圆,距离被改写,对同一目标只生效一次,地形绝对化,血液,让施术者说出真名
DM0129,时间领域,时间·静立不动,静立不动,一条战线,方向不再可信,对同一目标只生效一次,抢先手,感官,同时攻击内外两侧
DM0130,感知领域,感知·静立不动,静立不动,百步方圆,影与本体互换,范围内自己同样受限,制造不可预测,记忆,击碎中心锚点
DM0131,声音领域,声音·以血为引,以血为引,一整个房间,距离被改写,施术者不能移动,封锁退路,记忆,同时攻击内外两侧
DM0132,规则领域,规则·咏唱三息,咏唱三息,一整个房间,影与本体互换,施术者不能移动,封锁退路,身份痕迹,击碎中心锚点
DM0133,概念领域,概念·画地为界,画地为界,一条战线,结果可被替换,对同一目标只生效一次,团队增益,记忆,让施术者说出真名
DM0134,概念领域,概念·吞下媒介,吞下媒介,一条战线,语言即成真,施术者不能移动,制造不可预测,身份痕迹,同时攻击内外两侧
DM0135,材料领域,材料·咏唱三息,咏唱三息,自身为心,速度分层,每次不超过三息,团队增益,身份痕迹,击碎中心锚点
DM0136,影之领域,影之·咏唱三息,咏唱三息,百步方圆,影与本体互换,范围内自己同样受限,抢先手,寿命,用同源规则对冲
DM0137,感知领域,感知·以血为引,以血为引,一条战线,进入者被记录,破界即反噬,抢先手,体温,让施术者说出真名
DM0138,概念领域,概念·击掌触发,击掌触发,半径三步,速度分层,需持续消耗,封锁退路,记忆,同时攻击内外两侧
DM0139,影之领域,影之·吞下媒介,吞下媒介,自身为心,距离被改写,范围内自己同样受限,团队增益,体温,用同源规则对冲
DM0140,重力领域,重力·睁眼即启,睁眼即启,自身为心,方向不再可信,施术者不能移动,抢先手,寿命,用同源规则对冲
DM0141,重力领域,重力·画地为界,画地为界,百步方圆,方向不再可信,对同一目标只生效一次,地形绝对化,血液,让施术者说出真名
DM0142,材料领域,材料·睁眼即启,睁眼即启,视线之内,某种力消失,需持续消耗,封锁退路,体温,让施术者说出真名
DM0143,重力领域,重力·吞下媒介,吞下媒介,半径三步,方向不再可信,每次不超过三息,封锁退路,感官,同时攻击内外两侧
DM0144,重力领域,重力·击掌触发,击掌触发,半径三步,影与本体互换,对同一目标只生效一次,制造不可预测,血液,击碎中心锚点
DM0145,重力领域,重力·咏唱三息,咏唱三息,半径三步,结果可被替换,需持续消耗,团队增益,寿命,击碎中心锚点
DM0146,材料领域,材料·咏唱三息,咏唱三息,一条战线,某种力消失,对同一目标只生效一次,团队增益,血液,破坏触发条件
DM0147,材料领域,材料·以血为引,以血为引,一条战线,方向不再可信,施术者不能移动,封锁退路,体温,破坏触发条件
DM0148,生命领域,生命·击掌触发,击掌触发,半径三步,某种力消失,破界即反噬,制造不可预测,寿命,用同源规则对冲
DM0149,概念领域,概念·受创反启,受创反启,视线之内,距离被改写,需持续消耗,封锁退路,体温,让施术者说出真名
DM0150,因果领域,因果·静立不动,静立不动,一条战线,进入者被记录,范围内自己同样受限,封锁退路,身份痕迹,同时攻击内外两侧
DM0151,概念领域,概念·吞下媒介,吞下媒介,自身为心,位置可被抵押,每次不超过三息,抢先手,体温,用同源规则对冲
DM0152,影之领域,影之·以血为引,以血为引,一条战线,某种力消失,对同一目标只生效一次,制造不可预测,血液,击碎中心锚点
DM0153,生命领域,生命·静立不动,静立不动,一整个房间,某种力消失,范围内自己同样受限,抢先手,体温,破坏触发条件
DM0154,生命领域,生命·咏唱三息,咏唱三息,一条战线,距离被改写,需持续消耗,团队增益,体温,破坏触发条件
DM0155,重力领域,重力·击掌触发,击掌触发,百步方圆,距离被改写,施术者不能移动,团队增益,寿命,破坏触发条件
DM0156,生命领域,生命·击掌触发,击掌触发,一条战线,结果可被替换,破界即反噬,制造不可预测,身份痕迹,让施术者说出真名
DM0157,时间领域,时间·受创反启,受创反启,百步方圆,方向不再可信,每次不超过三息,团队增益,寿命,让施术者说出真名
DM0158,时间领域,时间·画地为界,画地为界,自身为心,距离被改写,施术者不能移动,抢先手,血液,破坏触发条件
DM0159,感知领域,感知·以血为引,以血为引,一整个房间,语言即成真,范围内自己同样受限,团队增益,寿命,破坏触发条件
DM0160,生命领域,生命·受创反启,受创反启,一条战线,某种力消失,范围内自己同样受限,团队增益,寿命,同时攻击内外两侧
DM0161,生命领域,生命·击掌触发,击掌触发,半径三步,距离被改写,每次不超过三息,封锁退路,体温,击碎中心锚点
DM0162,空间领域,空间·吞下媒介,吞下媒介,一条战线,距离被改写,施术者不能移动,封锁退路,血液,击碎中心锚点
DM0163,声音领域,声音·睁眼即启,睁眼即启,一条战线,位置可被抵押,需持续消耗,抢先手,体温,让施术者说出真名
DM0164,重力领域,重力·咏唱三息,咏唱三息,半径三步,进入者被记录,每次不超过三息,制造不可预测,身份痕迹,同时攻击内外两侧
DM0165,规则领域,规则·画地为界,画地为界,一整个房间,结果可被替换,对同一目标只生效一次,团队增益,身份痕迹,让施术者说出真名
DM0166,声音领域,声音·以血为引,以血为引,自身为心,影与本体互换,每次不超过三息,地形绝对化,血液,让施术者说出真名
DM0167,生命领域,生命·画地为界,画地为界,百步方圆,进入者被记录,施术者不能移动,地形绝对化,身份痕迹,用同源规则对冲
DM0168,生命领域,生命·以血为引,以血为引,一条战线,语言即成真,破界即反噬,封锁退路,感官,让施术者说出真名
DM0169,影之领域,影之·画地为界,画地为界,百步方圆,语言即成真,施术者不能移动,制造不可预测,血液,破坏触发条件
DM0170,影之领域,影之·以血为引,以血为引,半径三步,距离被改写,需持续消耗,地形绝对化,体温,用同源规则对冲
DM0171,空间领域,空间·画地为界,画地为界,视线之内,速度分层,每次不超过三息,团队增益,体温,击碎中心锚点
DM0172,材料领域,材料·受创反启,受创反启,百步方圆,某种力消失,破界即反噬,抢先手,记忆,同时攻击内外两侧
DM0173,重力领域,重力·以血为引,以血为引,自身为心,位置可被抵押,每次不超过三息,抢先手,寿命,破坏触发条件
DM0174,规则领域,规则·画地为界,画地为界,一条战线,重量可被赋予,每次不超过三息,制造不可预测,寿命,破坏触发条件
DM0175,因果领域,因果·吞下媒介,吞下媒介,视线之内,位置可被抵押,施术者不能移动,制造不可预测,血液,让施术者说出真名
DM0176,材料领域,材料·击掌触发,击掌触发,视线之内,进入者被记录,施术者不能移动,制造不可预测,身份痕迹,击碎中心锚点
DM0177,概念领域,概念·以血为引,以血为引,视线之内,速度分层,破界即反噬,制造不可预测,记忆,击碎中心锚点
DM0178,材料领域,材料·吞下媒介,吞下媒介,半径三步,影与本体互换,破界即反噬,地形绝对化,血液,用同源规则对冲
DM0179,影之领域,影之·以血为引,以血为引,视线之内,影与本体互换,破界即反噬,抢先手,记忆,让施术者说出真名
DM0180,重力领域,重力·击掌触发,击掌触发,百步方圆,方向不再可信,每次不超过三息,地形绝对化,感官,破坏触发条件
DM0181,空间领域,空间·吞下媒介,吞下媒介,一条战线,结果可被替换,每次不超过三息,抢先手,血液,同时攻击内外两侧
DM0182,温度领域,温度·吞下媒介,吞下媒介,自身为心,重量可被赋予,需持续消耗,团队增益,血液,击碎中心锚点
DM0183,因果领域,因果·击掌触发,击掌触发,自身为心,重量可被赋予,每次不超过三息,抢先手,血液,让施术者说出真名
DM0184,规则领域,规则·静立不动,静立不动,一整个房间,重量可被赋予,施术者不能移动,抢先手,记忆,用同源规则对冲
DM0185,规则领域,规则·静立不动,静立不动,自身为心,速度分层,需持续消耗,制造不可预测,体温,破坏触发条件
DM0186,重力领域,重力·击掌触发,击掌触发,百步方圆,某种力消失,施术者不能移动,抢先手,体温,让施术者说出真名
DM0187,声音领域,声音·咏唱三息,咏唱三息,视线之内,距离被改写,对同一目标只生效一次,地形绝对化,寿命,用同源规则对冲
DM0188,规则领域,规则·睁眼即启,睁眼即启,百步方圆,进入者被记录,范围内自己同样受限,抢先手,感官,用同源规则对冲
DM0189,感知领域,感知·吞下媒介,吞下媒介,自身为心,语言即成真,范围内自己同样受限,地形绝对化,记忆,击碎中心锚点
DM0190,重力领域,重力·画地为界,画地为界,自身为心,距离被改写,对同一目标只生效一次,团队增益,记忆,同时攻击内外两侧
DM0191,空间领域,空间·以血为引,以血为引,视线之内,某种力消失,需持续消耗,地形绝对化,感官,让施术者说出真名
DM0192,感知领域,感知·以血为引,以血为引,一条战线,影与本体互换,施术者不能移动,制造不可预测,寿命,让施术者说出真名
DM0193,时间领域,时间·画地为界,画地为界,自身为心,重量可被赋予,需持续消耗,团队增益,寿命,击碎中心锚点
DM0194,感知领域,感知·画地为界,画地为界,百步方圆,速度分层,破界即反噬,制造不可预测,寿命,破坏触发条件
DM0195,时间领域,时间·画地为界,画地为界,一整个房间,语言即成真,对同一目标只生效一次,地形绝对化,感官,同时攻击内外两侧
DM0196,重力领域,重力·以血为引,以血为引,半径三步,进入者被记录,施术者不能移动,封锁退路,记忆,破坏触发条件
DM0197,影之领域,影之·击掌触发,击掌触发,一整个房间,方向不再可信,需持续消耗,抢先手,血液,破坏触发条件
DM0198,材料领域,材料·画地为界,画地为界,视线之内,语言即成真,施术者不能移动,地形绝对化,血液,破坏触发条件
DM0199,空间领域,空间·静立不动,静立不动,一条战线,结果可被替换,对同一目标只生效一次,团队增益,记忆,破坏触发条件
DM0200,温度领域,温度·以血为引,以血为引,自身为心,某种力消失,需持续消耗,抢先手,记忆,破坏触发条件
DM0201,规则领域,规则·咏唱三息,咏唱三息,自身为心,语言即成真,对同一目标只生效一次,抢先手,寿命,让施术者说出真名
DM0202,空间领域,空间·受创反启,受创反启,视线之内,某种力消失,施术者不能移动,制造不可预测,体温,击碎中心锚点
DM0203,温度领域,温度·咏唱三息,咏唱三息,一条战线,进入者被记录,对同一目标只生效一次,地形绝对化,体温,同时攻击内外两侧
DM0204,时间领域,时间·静立不动,静立不动,一整个房间,速度分层,破界即反噬,制造不可预测,血液,同时攻击内外两侧
DM0205,规则领域,规则·睁眼即启,睁眼即启,视线之内,方向不再可信,每次不超过三息,团队增益,感官,击碎中心锚点
DM0206,温度领域,温度·受创反启,受创反启,半径三步,距离被改写,破界即反噬,团队增益,寿命,破坏触发条件
DM0207,材料领域,材料·受创反启,受创反启,一条战线,影与本体互换,每次不超过三息,封锁退路,体温,让施术者说出真名
DM0208,时间领域,时间·受创反启,受创反启,半径三步,影与本体互换,施术者不能移动,封锁退路,身份痕迹,同时攻击内外两侧
DM0209,声音领域,声音·咏唱三息,咏唱三息,百步方圆,结果可被替换,施术者不能移动,抢先手,感官,用同源规则对冲
DM0210,材料领域,材料·睁眼即启,睁眼即启,一条战线,方向不再可信,施术者不能移动,封锁退路,寿命,用同源规则对冲
DM0211,声音领域,声音·以血为引,以血为引,自身为心,方向不再可信,范围内自己同样受限,抢先手,感官,击碎中心锚点
DM0212,空间领域,空间·睁眼即启,睁眼即启,一条战线,位置可被抵押,每次不超过三息,封锁退路,体温,让施术者说出真名
DM0213,重力领域,重力·静立不动,静立不动,一条战线,位置可被抵押,破界即反噬,地形绝对化,体温,同时攻击内外两侧
DM0214,因果领域,因果·画地为界,画地为界,百步方圆,语言即成真,范围内自己同样受限,团队增益,感官,破坏触发条件
DM0215,规则领域,规则·击掌触发,击掌触发,百步方圆,距离被改写,对同一目标只生效一次,封锁退路,感官,用同源规则对冲
DM0216,时间领域,时间·咏唱三息,咏唱三息,视线之内,影与本体互换,破界即反噬,抢先手,感官,让施术者说出真名
DM0217,生命领域,生命·击掌触发,击掌触发,一整个房间,方向不再可信,对同一目标只生效一次,封锁退路,寿命,击碎中心锚点
