costume_id,阵营,剪影,结构要素,配饰,状态,描述
CS00031,宗门,非对称剪裁,腿部绑甲,护腕+断扣,完整如新,宗门·非对称剪裁｜腿部绑甲｜护腕+断扣｜完整如新
CS00032,流亡者,多层衣摆,交领叠襟,令牌+腰牌,当下战损,流亡者·多层衣摆｜交领叠襟｜令牌+腰牌｜当下战损
CS00033,学宫,长袍,分片下摆,药囊+腰牌,日常使用痕,学宫·长袍｜分片下摆｜药囊+腰牌｜日常使用痕
CS00034,宗门,半甲,高领护颈,旧皮带+护腕,战损修补,宗门·半甲｜高领护颈｜旧皮带+护腕｜战损修补
CS00035,镇墟司,长袍,高领护颈,耳饰+药囊,陈年旧物,镇墟司·长袍｜高领护颈｜耳饰+药囊｜陈年旧物
CS00036,贵族,非对称剪裁,交领叠襟,腰牌+额饰,日常使用痕,贵族·非对称剪裁｜交领叠襟｜腰牌+额饰｜日常使用痕
CS00037,隐世,轻甲,外披短褂,令牌+颈饰,完整如新,隐世·轻甲｜外披短褂｜令牌+颈饰｜完整如新
CS00038,流亡者,长袍,外披短褂,令牌+药囊,战损修补,流亡者·长袍｜外披短褂｜令牌+药囊｜战损修补
CS00039,复苏体,多层衣摆,腿部绑甲,断扣+护腕,战损修补,复苏体·多层衣摆｜腿部绑甲｜断扣+护腕｜战损修补
CS00040,王庭,宽袖,高领护颈,耳饰+面具残片,身份剥除感,王庭·宽袖｜高领护颈｜耳饰+面具残片｜身份剥除感
CS00041,游侠,长袍,交领叠襟,旧皮带+耳饰,日常使用痕,游侠·长袍｜交领叠襟｜旧皮带+耳饰｜日常使用痕
CS00042,学宫,束身,外披短褂,颈饰+令牌,战损修补,学宫·束身｜外披短褂｜颈饰+令牌｜战损修补
CS00043,镇墟司,披风,高领护颈,腰牌+耳饰,陈年旧物,镇墟司·披风｜高领护颈｜腰牌+耳饰｜陈年旧物
CS00044,战士团,重甲,外披短褂,颈饰+药囊,当下战损,战士团·重甲｜外披短褂｜颈饰+药囊｜当下战损
CS00045,医者,非对称剪裁,分片下摆,护腕+颈饰,当下战损,医者·非对称剪裁｜分片下摆｜护腕+颈饰｜当下战损
CS00046,游侠,宽袖,交领叠襟,药囊+护腕,战损修补,游侠·宽袖｜交领叠襟｜药囊+护腕｜战损修补
CS00047,王庭,半甲,腿部绑甲,臂环+护腕,当下战损,王庭·半甲｜腿部绑甲｜臂环+护腕｜当下战损
CS00048,战士团,轻甲,分片下摆,腰牌+令牌,战损修补,战士团·轻甲｜分片下摆｜腰牌+令牌｜战损修补
CS00049,恶灵,长袍,交领叠襟,臂环+颈饰,当下战损,恶灵·长袍｜交领叠襟｜臂环+颈饰｜当下战损
CS00050,镇墟司,轻甲,绑带束腰,耳饰+断扣,身份剥除感,镇墟司·轻甲｜绑带束腰｜耳饰+断扣｜身份剥除感
CS00051,恶灵,半甲,外披短褂,药囊+臂环,战损修补,恶灵·半甲｜外披短褂｜药囊+臂环｜战损修补
CS00052,学宫,长袍,背部长摆,断扣+令牌,完整如新,学宫·长袍｜背部长摆｜断扣+令牌｜完整如新
CS00053,商贾,短衣,背部长摆,符囊+腰牌,当下战损,商贾·短衣｜背部长摆｜符囊+腰牌｜当下战损
CS00054,隐世,短衣,高领护颈,药囊+令牌,当下战损,隐世·短衣｜高领护颈｜药囊+令牌｜当下战损
CS00055,商贾,多层衣摆,绑带束腰,面具残片+臂环,日常使用痕,商贾·多层衣摆｜绑带束腰｜面具残片+臂环｜日常使用痕
CS00056,隐世,披风,腿部绑甲,药囊+颈饰,当下战损,隐世·披风｜腿部绑甲｜药囊+颈饰｜当下战损
CS00057,隐世,腰封,交领叠襟,面具残片+额饰,边境磨损,隐世·腰封｜交领叠襟｜面具残片+额饰｜边境磨损
CS00058,宗门,束身,背部长摆,符囊+药囊,陈年旧物,宗门·束身｜背部长摆｜符囊+药囊｜陈年旧物
CS00059,贵族,束身,交领叠襟,断扣+护腕,日常使用痕,贵族·束身｜交领叠襟｜断扣+护腕｜日常使用痕
CS00060,战士团,宽袖,暗袋夹层,面具残片+药囊,边境磨损,战士团·宽袖｜暗袋夹层｜面具残片+药囊｜边境磨损
CS00061,隐世,长袍,外披短褂,符囊+面具残片,陈年旧物,隐世·长袍｜外披短褂｜符囊+面具残片｜陈年旧物
CS00062,隐世,披风,暗袋夹层,药囊+断扣,战损修补,隐世·披风｜暗袋夹层｜药囊+断扣｜战损修补
CS00063,商贾,腰封,暗袋夹层,令牌+腰牌,陈年旧物,商贾·腰封｜暗袋夹层｜令牌+腰牌｜陈年旧物
CS00064,学宫,轻甲,肩甲结构,颈饰+耳饰,边境磨损,学宫·轻甲｜肩甲结构｜颈饰+耳饰｜边境磨损
CS00065,灰区,非对称剪裁,高领护颈,断扣+护腕,边境磨损,灰区·非对称剪裁｜高领护颈｜断扣+护腕｜边境磨损
CS00066,王庭,束身,外披短褂,旧皮带+颈饰,身份剥除感,王庭·束身｜外披短褂｜旧皮带+颈饰｜身份剥除感
CS00067,复苏体,腰封,胸甲结构,符囊+面具残片,战损修补,复苏体·腰封｜胸甲结构｜符囊+面具残片｜战损修补
CS00068,恶灵,长袍,暗袋夹层,符囊+令牌,完整如新,恶灵·长袍｜暗袋夹层｜符囊+令牌｜完整如新
CS00069,学宫,非对称剪裁,背部长摆,耳饰+额饰,日常使用痕,学宫·非对称剪裁｜背部长摆｜耳饰+额饰｜日常使用痕
CS00070,宗门,腰封,暗袋夹层,符囊+腰牌,陈年旧物,宗门·腰封｜暗袋夹层｜符囊+腰牌｜陈年旧物
CS00071,镇墟司,多层衣摆,绑带束腰,臂环+令牌,陈年旧物,镇墟司·多层衣摆｜绑带束腰｜臂环+令牌｜陈年旧物
CS00072,灰区,长袍,胸甲结构,断扣+护腕,身份剥除感,灰区·长袍｜胸甲结构｜断扣+护腕｜身份剥除感
CS00073,贵族,披风,高领护颈,护腕+耳饰,边境磨损,贵族·披风｜高领护颈｜护腕+耳饰｜边境磨损
CS00074,复苏体,重甲,腿部绑甲,令牌+面具残片,完整如新,复苏体·重甲｜腿部绑甲｜令牌+面具残片｜完整如新
CS00075,镇墟司,非对称剪裁,绑带束腰,面具残片+额饰,当下战损,镇墟司·非对称剪裁｜绑带束腰｜面具残片+额饰｜当下战损
CS00076,隐世,重甲,绑带束腰,颈饰+额饰,当下战损,隐世·重甲｜绑带束腰｜颈饰+额饰｜当下战损
CS00077,宗门,非对称剪裁,高领护颈,药囊+旧皮带,完整如新,宗门·非对称剪裁｜高领护颈｜药囊+旧皮带｜完整如新
CS00078,复苏体,束身,分片下摆,护腕+令牌,战损修补,复苏体·束身｜分片下摆｜护腕+令牌｜战损修补
CS00079,王庭,护臂,暗袋夹层,药囊+断扣,身份剥除感,王庭·护臂｜暗袋夹层｜药囊+断扣｜身份剥除感
CS00080,恶灵,短衣,肩甲结构,药囊+臂环,身份剥除感,恶灵·短衣｜肩甲结构｜药囊+臂环｜身份剥除感
CS00081,灰区,腰封,外披短褂,断扣+符囊,陈年旧物,灰区·腰封｜外披短褂｜断扣+符囊｜陈年旧物
CS00082,隐世,披风,暗袋夹层,符囊+令牌,日常使用痕,隐世·披风｜暗袋夹层｜符囊+令牌｜日常使用痕
CS00083,学宫,腰封,胸甲结构,颈饰+护腕,陈年旧物,学宫·腰封｜胸甲结构｜颈饰+护腕｜陈年旧物
CS00084,宗门,披风,外披短褂,药囊+臂环,当下战损,宗门·披风｜外披短褂｜药囊+臂环｜当下战损
CS00085,宗门,护臂,背部长摆,药囊+额饰,战损修补,宗门·护臂｜背部长摆｜药囊+额饰｜战损修补
CS00086,医者,护臂,交领叠襟,护腕+颈饰,身份剥除感,医者·护臂｜交领叠襟｜护腕+颈饰｜身份剥除感
CS00087,复苏体,束身,交领叠襟,护腕+断扣,当下战损,复苏体·束身｜交领叠襟｜护腕+断扣｜当下战损
CS00088,镇墟司,短衣,绑带束腰,令牌+护腕,当下战损,镇墟司·短衣｜绑带束腰｜令牌+护腕｜当下战损
CS00089,商贾,宽袖,背部长摆,耳饰+面具残片,完整如新,商贾·宽袖｜背部长摆｜耳饰+面具残片｜完整如新
CS00090,游侠,束身,暗袋夹层,臂环+符囊,战损修补,游侠·束身｜暗袋夹层｜臂环+符囊｜战损修补
CS00091,复苏体,护臂,分片下摆,腰牌+臂环,完整如新,复苏体·护臂｜分片下摆｜腰牌+臂环｜完整如新
CS00092,商贾,腰封,腿部绑甲,面具残片+耳饰,边境磨损,商贾·腰封｜腿部绑甲｜面具残片+耳饰｜边境磨损
CS00093,贵族,短衣,背部长摆,额饰+臂环,战损修补,贵族·短衣｜背部长摆｜额饰+臂环｜战损修补
CS00094,医者,长袍,高领护颈,旧皮带+面具残片,战损修补,医者·长袍｜高领护颈｜旧皮带+面具残片｜战损修补
CS00095,镇墟司,重甲,绑带束腰,颈饰+令牌,日常使用痕,镇墟司·重甲｜绑带束腰｜颈饰+令牌｜日常使用痕
CS00096,宗门,半甲,交领叠襟,颈饰+护腕,完整如新,宗门·半甲｜交领叠襟｜颈饰+护腕｜完整如新
CS00097,战士团,长袍,腿部绑甲,腰牌+面具残片,战损修补,战士团·长袍｜腿部绑甲｜腰牌+面具残片｜战损修补
CS00098,王庭,护臂,交领叠襟,额饰+护腕,陈年旧物,王庭·护臂｜交领叠襟｜额饰+护腕｜陈年旧物
CS00099,战士团,宽袖,肩甲结构,药囊+令牌,日常使用痕,战士团·宽袖｜肩甲结构｜药囊+令牌｜日常使用痕
CS00100,隐世,披风,肩甲结构,颈饰+臂环,身份剥除感,隐世·披风｜肩甲结构｜颈饰+臂环｜身份剥除感
CS00101,王庭,多层衣摆,腿部绑甲,符囊+额饰,当下战损,王庭·多层衣摆｜腿部绑甲｜符囊+额饰｜当下战损
CS00102,商贾,轻甲,交领叠襟,臂环+药囊,日常使用痕,商贾·轻甲｜交领叠襟｜臂环+药囊｜日常使用痕
CS00103,复苏体,多层衣摆,绑带束腰,令牌+额饰,日常使用痕,复苏体·多层衣摆｜绑带束腰｜令牌+额饰｜日常使用痕
CS00104,复苏体,披风,暗袋夹层,令牌+旧皮带,战损修补,复苏体·披风｜暗袋夹层｜令牌+旧皮带｜战损修补
CS00105,商贾,宽袖,交领叠襟,颈饰+腰牌,边境磨损,商贾·宽袖｜交领叠襟｜颈饰+腰牌｜边境磨损
CS00106,贵族,半甲,外披短褂,符囊+颈饰,日常使用痕,贵族·半甲｜外披短褂｜符囊+颈饰｜日常使用痕
CS00107,隐世,半甲,分片下摆,面具残片+断扣,身份剥除感,隐世·半甲｜分片下摆｜面具残片+断扣｜身份剥除感
CS00108,复苏体,宽袖,高领护颈,额饰+护腕,陈年旧物,复苏体·宽袖｜高领护颈｜额饰+护腕｜陈年旧物
CS00109,学宫,宽袖,高领护颈,令牌+额饰,战损修补,学宫·宽袖｜高领护颈｜令牌+额饰｜战损修补
CS00110,商贾,束身,外披短褂,护腕+药囊,完整如新,商贾·束身｜外披短褂｜护腕+药囊｜完整如新
CS00111,隐世,短衣,背部长摆,臂环+旧皮带,战损修补,隐世·短衣｜背部长摆｜臂环+旧皮带｜战损修补
CS00112,灰区,长袍,外披短褂,护腕+断扣,边境磨损,灰区·长袍｜外披短褂｜护腕+断扣｜边境磨损
CS00113,灰区,轻甲,外披短褂,腰牌+耳饰,边境磨损,灰区·轻甲｜外披短褂｜腰牌+耳饰｜边境磨损
CS00114,隐世,重甲,腿部绑甲,护腕+药囊,日常使用痕,隐世·重甲｜腿部绑甲｜护腕+药囊｜日常使用痕
CS00115,隐世,非对称剪裁,肩甲结构,药囊+臂环,战损修补,隐世·非对称剪裁｜肩甲结构｜药囊+臂环｜战损修补
CS00116,复苏体,宽袖,交领叠襟,符囊+耳饰,完整如新,复苏体·宽袖｜交领叠襟｜符囊+耳饰｜完整如新
CS00117,复苏体,非对称剪裁,外披短褂,腰牌+颈饰,日常使用痕,复苏体·非对称剪裁｜外披短褂｜腰牌+颈饰｜日常使用痕
CS00118,复苏体,半甲,绑带束腰,耳饰+面具残片,当下战损,复苏体·半甲｜绑带束腰｜耳饰+面具残片｜当下战损
CS00119,宗门,半甲,分片下摆,颈饰+耳饰,完整如新,宗门·半甲｜分片下摆｜颈饰+耳饰｜完整如新
CS00120,商贾,轻甲,肩甲结构,耳饰+额饰,边境磨损,商贾·轻甲｜肩甲结构｜耳饰+额饰｜边境磨损
CS00121,医者,宽袖,外披短褂,腰牌+符囊,完整如新,医者·宽袖｜外披短褂｜腰牌+符囊｜完整如新
CS00122,隐世,轻甲,腿部绑甲,旧皮带+额饰,陈年旧物,隐世·轻甲｜腿部绑甲｜旧皮带+额饰｜陈年旧物
CS00123,宗门,束身,背部长摆,旧皮带+符囊,身份剥除感,宗门·束身｜背部长摆｜旧皮带+符囊｜身份剥除感
CS00124,医者,多层衣摆,背部长摆,符囊+腰牌,战损修补,医者·多层衣摆｜背部长摆｜符囊+腰牌｜战损修补
CS00125,商贾,腰封,高领护颈,腰牌+臂环,当下战损,商贾·腰封｜高领护颈｜腰牌+臂环｜当下战损
CS00126,复苏体,长袍,腿部绑甲,面具残片+令牌,完整如新,复苏体·长袍｜腿部绑甲｜面具残片+令牌｜完整如新
CS00127,医者,护臂,高领护颈,令牌+符囊,边境磨损,医者·护臂｜高领护颈｜令牌+符囊｜边境磨损
CS00128,医者,半甲,绑带束腰,颈饰+旧皮带,当下战损,医者·半甲｜绑带束腰｜颈饰+旧皮带｜当下战损
CS00129,学宫,多层衣摆,肩甲结构,断扣+护腕,当下战损,学宫·多层衣摆｜肩甲结构｜断扣+护腕｜当下战损
CS00130,学宫,长袍,腿部绑甲,药囊+颈饰,日常使用痕,学宫·长袍｜腿部绑甲｜药囊+颈饰｜日常使用痕
CS00131,贵族,披风,肩甲结构,耳饰+药囊,身份剥除感,贵族·披风｜肩甲结构｜耳饰+药囊｜身份剥除感
CS00132,王庭,多层衣摆,腿部绑甲,腰牌+符囊,陈年旧物,王庭·多层衣摆｜腿部绑甲｜腰牌+符囊｜陈年旧物
CS00133,游侠,轻甲,暗袋夹层,腰牌+面具残片,边境磨损,游侠·轻甲｜暗袋夹层｜腰牌+面具残片｜边境磨损
CS00134,隐世,长袍,胸甲结构,额饰+断扣,完整如新,隐世·长袍｜胸甲结构｜额饰+断扣｜完整如新
CS00135,商贾,重甲,交领叠襟,腰牌+面具残片,战损修补,商贾·重甲｜交领叠襟｜腰牌+面具残片｜战损修补
CS00136,医者,多层衣摆,腿部绑甲,臂环+腰牌,战损修补,医者·多层衣摆｜腿部绑甲｜臂环+腰牌｜战损修补
CS00137,学宫,束身,胸甲结构,旧皮带+符囊,战损修补,学宫·束身｜胸甲结构｜旧皮带+符囊｜战损修补
CS00138,游侠,长袍,交领叠襟,药囊+旧皮带,边境磨损,游侠·长袍｜交领叠襟｜药囊+旧皮带｜边境磨损
CS00139,恶灵,长袍,交领叠襟,腰牌+旧皮带,日常使用痕,恶灵·长袍｜交领叠襟｜腰牌+旧皮带｜日常使用痕
CS00140,恶灵,重甲,肩甲结构,额饰+护腕,身份剥除感,恶灵·重甲｜肩甲结构｜额饰+护腕｜身份剥除感
CS00141,宗门,长袍,胸甲结构,断扣+令牌,日常使用痕,宗门·长袍｜胸甲结构｜断扣+令牌｜日常使用痕
CS00142,恶灵,长袍,分片下摆,断扣+令牌,边境磨损,恶灵·长袍｜分片下摆｜断扣+令牌｜边境磨损
CS00143,复苏体,短衣,外披短褂,面具残片+护腕,当下战损,复苏体·短衣｜外披短褂｜面具残片+护腕｜当下战损
CS00144,游侠,长袍,外披短褂,臂环+药囊,日常使用痕,游侠·长袍｜外披短褂｜臂环+药囊｜日常使用痕
CS00145,灰区,半甲,外披短褂,面具残片+断扣,日常使用痕,灰区·半甲｜外披短褂｜面具残片+断扣｜日常使用痕
CS00146,灰区,轻甲,高领护颈,旧皮带+药囊,边境磨损,灰区·轻甲｜高领护颈｜旧皮带+药囊｜边境磨损
CS00147,恶灵,披风,暗袋夹层,腰牌+臂环,边境磨损,恶灵·披风｜暗袋夹层｜腰牌+臂环｜边境磨损
CS00148,贵族,束身,胸甲结构,腰牌+臂环,陈年旧物,贵族·束身｜胸甲结构｜腰牌+臂环｜陈年旧物
CS00149,贵族,长袍,高领护颈,额饰+臂环,完整如新,贵族·长袍｜高领护颈｜额饰+臂环｜完整如新
CS00150,流亡者,长袍,分片下摆,臂环+符囊,身份剥除感,流亡者·长袍｜分片下摆｜臂环+符囊｜身份剥除感
CS00151,宗门,披风,肩甲结构,颈饰+额饰,陈年旧物,宗门·披风｜肩甲结构｜颈饰+额饰｜陈年旧物
CS00152,贵族,腰封,高领护颈,耳饰+臂环,当下战损,贵族·腰封｜高领护颈｜耳饰+臂环｜当下战损
CS00153,恶灵,宽袖,胸甲结构,臂环+药囊,身份剥除感,恶灵·宽袖｜胸甲结构｜臂环+药囊｜身份剥除感
CS00154,学宫,非对称剪裁,胸甲结构,颈饰+耳饰,战损修补,学宫·非对称剪裁｜胸甲结构｜颈饰+耳饰｜战损修补
CS00155,商贾,半甲,胸甲结构,令牌+颈饰,边境磨损,商贾·半甲｜胸甲结构｜令牌+颈饰｜边境磨损
CS00156,复苏体,多层衣摆,肩甲结构,面具残片+护腕,陈年旧物,复苏体·多层衣摆｜肩甲结构｜面具残片+护腕｜陈年旧物
CS00157,镇墟司,重甲,交领叠襟,令牌+颈饰,边境磨损,镇墟司·重甲｜交领叠襟｜令牌+颈饰｜边境磨损
CS00158,流亡者,腰封,肩甲结构,断扣+耳饰,完整如新,流亡者·腰封｜肩甲结构｜断扣+耳饰｜完整如新
CS00159,宗门,宽袖,分片下摆,药囊+符囊,身份剥除感,宗门·宽袖｜分片下摆｜药囊+符囊｜身份剥除感
CS00160,医者,宽袖,高领护颈,耳饰+旧皮带,战损修补,医者·宽袖｜高领护颈｜耳饰+旧皮带｜战损修补
CS00161,学宫,轻甲,暗袋夹层,腰牌+耳饰,完整如新,学宫·轻甲｜暗袋夹层｜腰牌+耳饰｜完整如新
CS00162,隐世,宽袖,肩甲结构,面具残片+药囊,当下战损,隐世·宽袖｜肩甲结构｜面具残片+药囊｜当下战损
CS00163,游侠,短衣,暗袋夹层,臂环+护腕,陈年旧物,游侠·短衣｜暗袋夹层｜臂环+护腕｜陈年旧物
CS00164,复苏体,宽袖,绑带束腰,护腕+臂环,陈年旧物,复苏体·宽袖｜绑带束腰｜护腕+臂环｜陈年旧物
CS00165,流亡者,长袍,背部长摆,断扣+护腕,日常使用痕,流亡者·长袍｜背部长摆｜断扣+护腕｜日常使用痕
CS00166,镇墟司,轻甲,胸甲结构,额饰+颈饰,完整如新,镇墟司·轻甲｜胸甲结构｜额饰+颈饰｜完整如新
CS00167,恶灵,护臂,背部长摆,颈饰+耳饰,战损修补,恶灵·护臂｜背部长摆｜颈饰+耳饰｜战损修补
CS00168,镇墟司,长袍,绑带束腰,耳饰+符囊,日常使用痕,镇墟司·长袍｜绑带束腰｜耳饰+符囊｜日常使用痕
CS00169,隐世,半甲,高领护颈,断扣+符囊,当下战损,隐世·半甲｜高领护颈｜断扣+符囊｜当下战损
CS00170,王庭,短衣,外披短褂,药囊+令牌,身份剥除感,王庭·短衣｜外披短褂｜药囊+令牌｜身份剥除感
CS00171,医者,重甲,外披短褂,面具残片+护腕,完整如新,医者·重甲｜外披短褂｜面具残片+护腕｜完整如新
CS00172,隐世,短衣,外披短褂,药囊+护腕,身份剥除感,隐世·短衣｜外披短褂｜药囊+护腕｜身份剥除感
CS00173,隐世,宽袖,背部长摆,护腕+符囊,战损修补,隐世·宽袖｜背部长摆｜护腕+符囊｜战损修补
CS00174,复苏体,多层衣摆,腿部绑甲,腰牌+旧皮带,身份剥除感,复苏体·多层衣摆｜腿部绑甲｜腰牌+旧皮带｜身份剥除感
CS00175,流亡者,长袍,绑带束腰,额饰+护腕,当下战损,流亡者·长袍｜绑带束腰｜额饰+护腕｜当下战损
CS00176,宗门,重甲,绑带束腰,耳饰+颈饰,完整如新,宗门·重甲｜绑带束腰｜耳饰+颈饰｜完整如新
CS00177,贵族,多层衣摆,外披短褂,令牌+臂环,当下战损,贵族·多层衣摆｜外披短褂｜令牌+臂环｜当下战损
CS00178,恶灵,宽袖,绑带束腰,颈饰+臂环,当下战损,恶灵·宽袖｜绑带束腰｜颈饰+臂环｜当下战损
CS00179,隐世,短衣,暗袋夹层,护腕+药囊,陈年旧物,隐世·短衣｜暗袋夹层｜护腕+药囊｜陈年旧物
CS00180,商贾,重甲,外披短褂,耳饰+颈饰,陈年旧物,商贾·重甲｜外披短褂｜耳饰+颈饰｜陈年旧物
CS00181,灰区,宽袖,绑带束腰,护腕+面具残片,完整如新,灰区·宽袖｜绑带束腰｜护腕+面具残片｜完整如新
CS00182,复苏体,半甲,外披短褂,腰牌+符囊,身份剥除感,复苏体·半甲｜外披短褂｜腰牌+符囊｜身份剥除感
CS00183,宗门,宽袖,绑带束腰,面具残片+颈饰,日常使用痕,宗门·宽袖｜绑带束腰｜面具残片+颈饰｜日常使用痕
CS00184,商贾,长袍,分片下摆,符囊+腰牌,身份剥除感,商贾·长袍｜分片下摆｜符囊+腰牌｜身份剥除感
CS00185,学宫,多层衣摆,背部长摆,药囊+旧皮带,边境磨损,学宫·多层衣摆｜背部长摆｜药囊+旧皮带｜边境磨损
CS00186,王庭,非对称剪裁,暗袋夹层,耳饰+旧皮带,边境磨损,王庭·非对称剪裁｜暗袋夹层｜耳饰+旧皮带｜边境磨损
CS00187,医者,护臂,交领叠襟,旧皮带+断扣,完整如新,医者·护臂｜交领叠襟｜旧皮带+断扣｜完整如新
CS00188,游侠,重甲,高领护颈,符囊+腰牌,日常使用痕,游侠·重甲｜高领护颈｜符囊+腰牌｜日常使用痕
CS00189,战士团,非对称剪裁,背部长摆,额饰+臂环,边境磨损,战士团·非对称剪裁｜背部长摆｜额饰+臂环｜边境磨损
CS00190,流亡者,长袍,交领叠襟,令牌+额饰,完整如新,流亡者·长袍｜交领叠襟｜令牌+额饰｜完整如新
CS00191,隐世,非对称剪裁,交领叠襟,旧皮带+面具残片,战损修补,隐世·非对称剪裁｜交领叠襟｜旧皮带+面具残片｜战损修补
CS00192,游侠,束身,腿部绑甲,臂环+腰牌,战损修补,游侠·束身｜腿部绑甲｜臂环+腰牌｜战损修补
CS00193,恶灵,披风,腿部绑甲,药囊+面具残片,边境磨损,恶灵·披风｜腿部绑甲｜药囊+面具残片｜边境磨损
CS00194,游侠,披风,背部长摆,耳饰+腰牌,当下战损,游侠·披风｜背部长摆｜耳饰+腰牌｜当下战损
CS00195,游侠,腰封,胸甲结构,额饰+旧皮带,边境磨损,游侠·腰封｜胸甲结构｜额饰+旧皮带｜边境磨损
CS00196,流亡者,束身,高领护颈,断扣+令牌,战损修补,流亡者·束身｜高领护颈｜断扣+令牌｜战损修补
CS00197,镇墟司,重甲,外披短褂,符囊+面具残片,身份剥除感,镇墟司·重甲｜外披短褂｜符囊+面具残片｜身份剥除感
CS00198,镇墟司,腰封,腿部绑甲,面具残片+药囊,战损修补,镇墟司·腰封｜腿部绑甲｜面具残片+药囊｜战损修补
CS00199,灰区,护臂,肩甲结构,额饰+药囊,完整如新,灰区·护臂｜肩甲结构｜额饰+药囊｜完整如新
CS00200,流亡者,宽袖,交领叠襟,符囊+颈饰,完整如新,流亡者·宽袖｜交领叠襟｜符囊+颈饰｜完整如新
CS00201,灰区,腰封,绑带束腰,符囊+腰牌,当下战损,灰区·腰封｜绑带束腰｜符囊+腰牌｜当下战损
CS00202,隐世,披风,背部长摆,颈饰+耳饰,边境磨损,隐世·披风｜背部长摆｜颈饰+耳饰｜边境磨损
