p_id,第一眼,第二眼,第三眼,关键词串,视觉化要点,一句话
PS00011,放纵,克己,虔诚,放纵、克己、虔诚,放纵→收紧动作幅度与表情；克己→放松眼尾/嘴角；虔诚→层叠结构,第一眼放纵，第二眼克己，第三眼虔诚
PS00012,通透,隐忍,疯狂,通透、隐忍、疯狂,通透→收紧动作幅度与表情；隐忍→放松眼尾/嘴角；疯狂→高洁材质,第一眼通透，第二眼隐忍，第三眼疯狂
PS00013,疯狂,神性,警觉,疯狂、神性、警觉,疯狂→收紧动作幅度与表情；神性→放松眼尾/嘴角；警觉→层叠结构,第一眼疯狂，第二眼神性，第三眼警觉
PS00014,高贵,强健,躁动,高贵、强健、躁动,高贵→收紧动作幅度与表情；强健→稳定眼神；躁动→层叠结构,第一眼高贵，第二眼强健，第三眼躁动
PS00015,温润,沉稳,野性,温润、沉稳、野性,温润→收紧动作幅度与表情；沉稳→锐利眼型；野性→简洁剪影,第一眼温润，第二眼沉稳，第三眼野性
PS00016,悲悯,沧桑,柔软,悲悯、沧桑、柔软,悲悯→收紧动作幅度与表情；沧桑→锐利眼型；柔软→高洁材质,第一眼悲悯，第二眼沧桑，第三眼柔软
PS00017,聪慧,市井,局促,聪慧、市井、局促,聪慧→收紧动作幅度与表情；市井→强烈轮廓；局促→反差配色,第一眼聪慧，第二眼市井，第三眼局促
PS00018,病弱,沉静,危险,病弱、沉静、危险,病弱→收紧动作幅度与表情；沉静→强烈轮廓；危险→破损细节,第一眼病弱，第二眼沉静，第三眼危险
PS00019,病弱,阴郁,叛逆,病弱、阴郁、叛逆,病弱→收紧动作幅度与表情；阴郁→放松眼尾/嘴角；叛逆→简洁剪影,第一眼病弱，第二眼阴郁，第三眼叛逆
PS00020,散漫,叛逆,高贵,散漫、叛逆、高贵,散漫→收紧动作幅度与表情；叛逆→强烈轮廓；高贵→层叠结构,第一眼散漫，第二眼叛逆，第三眼高贵
PS00021,沧桑,局促,天真,沧桑、局促、天真,沧桑→收紧动作幅度与表情；局促→结构不对称；天真→简洁剪影,第一眼沧桑，第二眼局促，第三眼天真
PS00022,市井,放纵,狠戾,市井、放纵、狠戾,市井→收紧动作幅度与表情；放纵→锐利眼型；狠戾→破损细节,第一眼市井，第二眼放纵，第三眼狠戾
PS00023,清冷,疯狂,坦然,清冷、疯狂、坦然,清冷→收紧动作幅度与表情；疯狂→稳定眼神；坦然→层叠结构,第一眼清冷，第二眼疯狂，第三眼坦然
PS00024,克制,通透,高贵,克制、通透、高贵,克制→收紧动作幅度与表情；通透→结构不对称；高贵→高洁材质,第一眼克制，第二眼通透，第三眼高贵
PS00025,清冷,狠戾,妖异,清冷、狠戾、妖异,清冷→收紧动作幅度与表情；狠戾→放松眼尾/嘴角；妖异→反差配色,第一眼清冷，第二眼狠戾，第三眼妖异
PS00026,高贵,克制,躁动,高贵、克制、躁动,高贵→收紧动作幅度与表情；克制→强烈轮廓；躁动→简洁剪影,第一眼高贵，第二眼克制，第三眼躁动
PS00027,高贵,执拗,狠戾,高贵、执拗、狠戾,高贵→收紧动作幅度与表情；执拗→稳定眼神；狠戾→反差配色,第一眼高贵，第二眼执拗，第三眼狠戾
PS00028,坚毅,叛逆,冷酷,坚毅、叛逆、冷酷,坚毅→收紧动作幅度与表情；叛逆→非人平静；冷酷→简洁剪影,第一眼坚毅，第二眼叛逆，第三眼冷酷
PS00029,放纵,明亮,躁动,放纵、明亮、躁动,放纵→收紧动作幅度与表情；明亮→结构不对称；躁动→高洁材质,第一眼放纵，第二眼明亮，第三眼躁动
PS00030,高贵,天真,疏离,高贵、天真、疏离,高贵→收紧动作幅度与表情；天真→非人平静；疏离→破损细节,第一眼高贵，第二眼天真，第三眼疏离
PS00031,冷酷,强健,亲和,冷酷、强健、亲和,冷酷→收紧动作幅度与表情；强健→放松眼尾/嘴角；亲和→层叠结构,第一眼冷酷，第二眼强健，第三眼亲和
PS00032,通透,疏离,野性,通透、疏离、野性,通透→收紧动作幅度与表情；疏离→材质温润；野性→反差配色,第一眼通透，第二眼疏离，第三眼野性
PS00033,疏离,慵懒,温雅,疏离、慵懒、温雅,疏离→收紧动作幅度与表情；慵懒→放松眼尾/嘴角；温雅→破损细节,第一眼疏离，第二眼慵懒，第三眼温雅
PS00034,妖异,叛逆,慵懒,妖异、叛逆、慵懒,妖异→收紧动作幅度与表情；叛逆→稳定眼神；慵懒→破损细节,第一眼妖异，第二眼叛逆，第三眼慵懒
PS00035,市井,张扬,野性,市井、张扬、野性,市井→收紧动作幅度与表情；张扬→结构不对称；野性→简洁剪影,第一眼市井，第二眼张扬，第三眼野性
PS00036,聪慧,病弱,从容,聪慧、病弱、从容,聪慧→收紧动作幅度与表情；病弱→锐利眼型；从容→简洁剪影,第一眼聪慧，第二眼病弱，第三眼从容
PS00037,柔软,虔诚,隐忍,柔软、虔诚、隐忍,柔软→收紧动作幅度与表情；虔诚→结构不对称；隐忍→反差配色,第一眼柔软，第二眼虔诚，第三眼隐忍
PS00038,阴郁,坦然,聪慧,阴郁、坦然、聪慧,阴郁→收紧动作幅度与表情；坦然→非人平静；聪慧→高洁材质,第一眼阴郁，第二眼坦然，第三眼聪慧
PS00039,疏离,神秘,温雅,疏离、神秘、温雅,疏离→收紧动作幅度与表情；神秘→强烈轮廓；温雅→反差配色,第一眼疏离，第二眼神秘，第三眼温雅
PS00040,凌厉,妖异,从容,凌厉、妖异、从容,凌厉→收紧动作幅度与表情；妖异→稳定眼神；从容→高洁材质,第一眼凌厉，第二眼妖异，第三眼从容
PS00041,躁动,疯狂,执拗,躁动、疯狂、执拗,躁动→收紧动作幅度与表情；疯狂→材质温润；执拗→反差配色,第一眼躁动，第二眼疯狂，第三眼执拗
PS00042,克制,沧桑,执拗,克制、沧桑、执拗,克制→收紧动作幅度与表情；沧桑→结构不对称；执拗→反差配色,第一眼克制，第二眼沧桑，第三眼执拗
PS00043,局促,冷酷,执拗,局促、冷酷、执拗,局促→收紧动作幅度与表情；冷酷→结构不对称；执拗→简洁剪影,第一眼局促，第二眼冷酷，第三眼执拗
PS00044,孤傲,沉静,冷酷,孤傲、沉静、冷酷,孤傲→收紧动作幅度与表情；沉静→强烈轮廓；冷酷→简洁剪影,第一眼孤傲，第二眼沉静，第三眼冷酷
PS00045,病弱,天真,执拗,病弱、天真、执拗,病弱→收紧动作幅度与表情；天真→强烈轮廓；执拗→高洁材质,第一眼病弱，第二眼天真，第三眼执拗
PS00046,冷酷,悲悯,市井,冷酷、悲悯、市井,冷酷→收紧动作幅度与表情；悲悯→锐利眼型；市井→高洁材质,第一眼冷酷，第二眼悲悯，第三眼市井
PS00047,阴郁,神性,危险,阴郁、神性、危险,阴郁→收紧动作幅度与表情；神性→强烈轮廓；危险→破损细节,第一眼阴郁，第二眼神性，第三眼危险
PS00048,克己,妖异,通透,克己、妖异、通透,克己→收紧动作幅度与表情；妖异→锐利眼型；通透→破损细节,第一眼克己，第二眼妖异，第三眼通透
PS00049,强健,亲和,温柔,强健、亲和、温柔,强健→收紧动作幅度与表情；亲和→强烈轮廓；温柔→破损细节,第一眼强健，第二眼亲和，第三眼温柔
PS00050,沉静,凌厉,警觉,沉静、凌厉、警觉,沉静→收紧动作幅度与表情；凌厉→材质温润；警觉→破损细节,第一眼沉静，第二眼凌厉，第三眼警觉
PS00051,阴郁,坚毅,温雅,阴郁、坚毅、温雅,阴郁→收紧动作幅度与表情；坚毅→强烈轮廓；温雅→反差配色,第一眼阴郁，第二眼坚毅，第三眼温雅
PS00052,野性,散漫,神秘,野性、散漫、神秘,野性→收紧动作幅度与表情；散漫→材质温润；神秘→层叠结构,第一眼野性，第二眼散漫，第三眼神秘
PS00053,市井,放纵,克己,市井、放纵、克己,市井→收紧动作幅度与表情；放纵→强烈轮廓；克己→破损细节,第一眼市井，第二眼放纵，第三眼克己
PS00054,可靠,躁动,局促,可靠、躁动、局促,可靠→收紧动作幅度与表情；躁动→结构不对称；局促→层叠结构,第一眼可靠，第二眼躁动，第三眼局促
PS00055,通透,疏离,克己,通透、疏离、克己,通透→收紧动作幅度与表情；疏离→非人平静；克己→高洁材质,第一眼通透，第二眼疏离，第三眼克己
PS00056,阴郁,坦然,直率,阴郁、坦然、直率,阴郁→收紧动作幅度与表情；坦然→非人平静；直率→破损细节,第一眼阴郁，第二眼坦然，第三眼直率
PS00057,危险,清冷,坚毅,危险、清冷、坚毅,危险→收紧动作幅度与表情；清冷→非人平静；坚毅→层叠结构,第一眼危险，第二眼清冷，第三眼坚毅
PS00058,坚毅,温润,疯狂,坚毅、温润、疯狂,坚毅→收紧动作幅度与表情；温润→放松眼尾/嘴角；疯狂→层叠结构,第一眼坚毅，第二眼温润，第三眼疯狂
PS00059,高贵,沉静,虔诚,高贵、沉静、虔诚,高贵→收紧动作幅度与表情；沉静→锐利眼型；虔诚→简洁剪影,第一眼高贵，第二眼沉静，第三眼虔诚
PS00060,强健,神性,冷酷,强健、神性、冷酷,强健→收紧动作幅度与表情；神性→放松眼尾/嘴角；冷酷→层叠结构,第一眼强健，第二眼神性，第三眼冷酷
PS00061,明亮,坚毅,神秘,明亮、坚毅、神秘,明亮→收紧动作幅度与表情；坚毅→结构不对称；神秘→简洁剪影,第一眼明亮，第二眼坚毅，第三眼神秘
PS00062,明亮,温柔,野性,明亮、温柔、野性,明亮→收紧动作幅度与表情；温柔→强烈轮廓；野性→层叠结构,第一眼明亮，第二眼温柔，第三眼野性
PS00063,高贵,妖异,沧桑,高贵、妖异、沧桑,高贵→收紧动作幅度与表情；妖异→稳定眼神；沧桑→高洁材质,第一眼高贵，第二眼妖异，第三眼沧桑
PS00064,沉稳,悲悯,坚毅,沉稳、悲悯、坚毅,沉稳→收紧动作幅度与表情；悲悯→放松眼尾/嘴角；坚毅→破损细节,第一眼沉稳，第二眼悲悯，第三眼坚毅
PS00065,从容,聪慧,妖异,从容、聪慧、妖异,从容→收紧动作幅度与表情；聪慧→锐利眼型；妖异→破损细节,第一眼从容，第二眼聪慧，第三眼妖异
PS00066,坚毅,孤傲,高贵,坚毅、孤傲、高贵,坚毅→收紧动作幅度与表情；孤傲→稳定眼神；高贵→简洁剪影,第一眼坚毅，第二眼孤傲，第三眼高贵
PS00067,直率,悲悯,孤傲,直率、悲悯、孤傲,直率→收紧动作幅度与表情；悲悯→稳定眼神；孤傲→简洁剪影,第一眼直率，第二眼悲悯，第三眼孤傲
PS00068,慵懒,疯狂,沉稳,慵懒、疯狂、沉稳,慵懒→收紧动作幅度与表情；疯狂→锐利眼型；沉稳→简洁剪影,第一眼慵懒，第二眼疯狂，第三眼沉稳
PS00069,凌厉,神性,放纵,凌厉、神性、放纵,凌厉→收紧动作幅度与表情；神性→锐利眼型；放纵→反差配色,第一眼凌厉，第二眼神性，第三眼放纵
PS00070,柔软,危险,市井,柔软、危险、市井,柔软→收紧动作幅度与表情；危险→非人平静；市井→反差配色,第一眼柔软，第二眼危险，第三眼市井
PS00071,疏离,隐忍,克己,疏离、隐忍、克己,疏离→收紧动作幅度与表情；隐忍→强烈轮廓；克己→简洁剪影,第一眼疏离，第二眼隐忍，第三眼克己
PS00072,慵懒,孤傲,聪慧,慵懒、孤傲、聪慧,慵懒→收紧动作幅度与表情；孤傲→材质温润；聪慧→层叠结构,第一眼慵懒，第二眼孤傲，第三眼聪慧
PS00073,悲悯,狠戾,疏离,悲悯、狠戾、疏离,悲悯→收紧动作幅度与表情；狠戾→非人平静；疏离→反差配色,第一眼悲悯，第二眼狠戾，第三眼疏离
PS00074,暴烈,直率,柔软,暴烈、直率、柔软,暴烈→收紧动作幅度与表情；直率→放松眼尾/嘴角；柔软→反差配色,第一眼暴烈，第二眼直率，第三眼柔软
PS00075,坦然,局促,沉稳,坦然、局促、沉稳,坦然→收紧动作幅度与表情；局促→材质温润；沉稳→反差配色,第一眼坦然，第二眼局促，第三眼沉稳
PS00076,可靠,危险,叛逆,可靠、危险、叛逆,可靠→收紧动作幅度与表情；危险→材质温润；叛逆→破损细节,第一眼可靠，第二眼危险，第三眼叛逆
PS00077,放纵,散漫,慵懒,放纵、散漫、慵懒,放纵→收紧动作幅度与表情；散漫→锐利眼型；慵懒→反差配色,第一眼放纵，第二眼散漫，第三眼慵懒
PS00078,从容,躁动,虔诚,从容、躁动、虔诚,从容→收紧动作幅度与表情；躁动→放松眼尾/嘴角；虔诚→简洁剪影,第一眼从容，第二眼躁动，第三眼虔诚
PS00079,危险,疯狂,孤傲,危险、疯狂、孤傲,危险→收紧动作幅度与表情；疯狂→结构不对称；孤傲→简洁剪影,第一眼危险，第二眼疯狂，第三眼孤傲
PS00080,神秘,高贵,明亮,神秘、高贵、明亮,神秘→收紧动作幅度与表情；高贵→非人平静；明亮→简洁剪影,第一眼神秘，第二眼高贵，第三眼明亮
PS00081,张扬,坚毅,叛逆,张扬、坚毅、叛逆,张扬→收紧动作幅度与表情；坚毅→锐利眼型；叛逆→简洁剪影,第一眼张扬，第二眼坚毅，第三眼叛逆
PS00082,温雅,柔软,聪慧,温雅、柔软、聪慧,温雅→收紧动作幅度与表情；柔软→结构不对称；聪慧→反差配色,第一眼温雅，第二眼柔软，第三眼聪慧
PS00083,张扬,坚毅,孤傲,张扬、坚毅、孤傲,张扬→收紧动作幅度与表情；坚毅→稳定眼神；孤傲→层叠结构,第一眼张扬，第二眼坚毅，第三眼孤傲
PS00084,妖异,危险,张扬,妖异、危险、张扬,妖异→收紧动作幅度与表情；危险→结构不对称；张扬→破损细节,第一眼妖异，第二眼危险，第三眼张扬
PS00085,危险,克己,疯狂,危险、克己、疯狂,危险→收紧动作幅度与表情；克己→强烈轮廓；疯狂→层叠结构,第一眼危险，第二眼克己，第三眼疯狂
PS00086,放纵,躁动,神秘,放纵、躁动、神秘,放纵→收紧动作幅度与表情；躁动→锐利眼型；神秘→反差配色,第一眼放纵，第二眼躁动，第三眼神秘
PS00087,疯狂,市井,躁动,疯狂、市井、躁动,疯狂→收紧动作幅度与表情；市井→结构不对称；躁动→高洁材质,第一眼疯狂，第二眼市井，第三眼躁动
PS00088,可靠,聪慧,神性,可靠、聪慧、神性,可靠→收紧动作幅度与表情；聪慧→结构不对称；神性→反差配色,第一眼可靠，第二眼聪慧，第三眼神性
PS00089,执拗,沉静,慵懒,执拗、沉静、慵懒,执拗→收紧动作幅度与表情；沉静→非人平静；慵懒→高洁材质,第一眼执拗，第二眼沉静，第三眼慵懒
PS00090,凌厉,沉稳,警觉,凌厉、沉稳、警觉,凌厉→收紧动作幅度与表情；沉稳→稳定眼神；警觉→层叠结构,第一眼凌厉，第二眼沉稳，第三眼警觉
PS00091,亲和,散漫,天真,亲和、散漫、天真,亲和→收紧动作幅度与表情；散漫→材质温润；天真→破损细节,第一眼亲和，第二眼散漫，第三眼天真
PS00092,市井,可靠,执拗,市井、可靠、执拗,市井→收紧动作幅度与表情；可靠→材质温润；执拗→简洁剪影,第一眼市井，第二眼可靠，第三眼执拗
PS00093,柔软,慵懒,阴郁,柔软、慵懒、阴郁,柔软→收紧动作幅度与表情；慵懒→材质温润；阴郁→层叠结构,第一眼柔软，第二眼慵懒，第三眼阴郁
PS00094,温润,放纵,孤傲,温润、放纵、孤傲,温润→收紧动作幅度与表情；放纵→非人平静；孤傲→高洁材质,第一眼温润，第二眼放纵，第三眼孤傲
PS00095,可靠,躁动,明亮,可靠、躁动、明亮,可靠→收紧动作幅度与表情；躁动→非人平静；明亮→反差配色,第一眼可靠，第二眼躁动，第三眼明亮
PS00096,悲悯,躁动,温雅,悲悯、躁动、温雅,悲悯→收紧动作幅度与表情；躁动→材质温润；温雅→破损细节,第一眼悲悯，第二眼躁动，第三眼温雅
PS00097,狠戾,直率,隐忍,狠戾、直率、隐忍,狠戾→收紧动作幅度与表情；直率→材质温润；隐忍→简洁剪影,第一眼狠戾，第二眼直率，第三眼隐忍
PS00098,高贵,疯狂,病弱,高贵、疯狂、病弱,高贵→收紧动作幅度与表情；疯狂→材质温润；病弱→反差配色,第一眼高贵，第二眼疯狂，第三眼病弱
PS00099,妖异,克制,温润,妖异、克制、温润,妖异→收紧动作幅度与表情；克制→锐利眼型；温润→简洁剪影,第一眼妖异，第二眼克制，第三眼温润
PS00100,叛逆,高贵,坦然,叛逆、高贵、坦然,叛逆→收紧动作幅度与表情；高贵→稳定眼神；坦然→破损细节,第一眼叛逆，第二眼高贵，第三眼坦然
PS00101,阴郁,放纵,聪慧,阴郁、放纵、聪慧,阴郁→收紧动作幅度与表情；放纵→放松眼尾/嘴角；聪慧→简洁剪影,第一眼阴郁，第二眼放纵，第三眼聪慧
PS00102,疏离,警觉,温润,疏离、警觉、温润,疏离→收紧动作幅度与表情；警觉→结构不对称；温润→简洁剪影,第一眼疏离，第二眼警觉，第三眼温润
PS00103,暴烈,明亮,可靠,暴烈、明亮、可靠,暴烈→收紧动作幅度与表情；明亮→材质温润；可靠→反差配色,第一眼暴烈，第二眼明亮，第三眼可靠
PS00104,市井,天真,孤傲,市井、天真、孤傲,市井→收紧动作幅度与表情；天真→强烈轮廓；孤傲→层叠结构,第一眼市井，第二眼天真，第三眼孤傲
PS00105,强健,通透,克己,强健、通透、克己,强健→收紧动作幅度与表情；通透→材质温润；克己→破损细节,第一眼强健，第二眼通透，第三眼克己
PS00106,狠戾,坚毅,克制,狠戾、坚毅、克制,狠戾→收紧动作幅度与表情；坚毅→强烈轮廓；克制→反差配色,第一眼狠戾，第二眼坚毅，第三眼克制
PS00107,温雅,野性,孤傲,温雅、野性、孤傲,温雅→收紧动作幅度与表情；野性→强烈轮廓；孤傲→高洁材质,第一眼温雅，第二眼野性，第三眼孤傲
PS00108,暴烈,阴郁,聪慧,暴烈、阴郁、聪慧,暴烈→收紧动作幅度与表情；阴郁→非人平静；聪慧→高洁材质,第一眼暴烈，第二眼阴郁，第三眼聪慧
PS00109,柔软,隐忍,悲悯,柔软、隐忍、悲悯,柔软→收紧动作幅度与表情；隐忍→放松眼尾/嘴角；悲悯→反差配色,第一眼柔软，第二眼隐忍，第三眼悲悯
PS00110,直率,强健,狠戾,直率、强健、狠戾,直率→收紧动作幅度与表情；强健→结构不对称；狠戾→破损细节,第一眼直率，第二眼强健，第三眼狠戾
PS00111,沧桑,悲悯,沉稳,沧桑、悲悯、沉稳,沧桑→收紧动作幅度与表情；悲悯→稳定眼神；沉稳→破损细节,第一眼沧桑，第二眼悲悯，第三眼沉稳
PS00112,躁动,叛逆,沉静,躁动、叛逆、沉静,躁动→收紧动作幅度与表情；叛逆→强烈轮廓；沉静→高洁材质,第一眼躁动，第二眼叛逆，第三眼沉静
PS00113,克制,明亮,叛逆,克制、明亮、叛逆,克制→收紧动作幅度与表情；明亮→锐利眼型；叛逆→破损细节,第一眼克制，第二眼明亮，第三眼叛逆
PS00114,市井,神性,警觉,市井、神性、警觉,市井→收紧动作幅度与表情；神性→结构不对称；警觉→层叠结构,第一眼市井，第二眼神性，第三眼警觉
PS00115,神秘,沧桑,从容,神秘、沧桑、从容,神秘→收紧动作幅度与表情；沧桑→稳定眼神；从容→简洁剪影,第一眼神秘，第二眼沧桑，第三眼从容
PS00116,孤傲,清冷,阴郁,孤傲、清冷、阴郁,孤傲→收紧动作幅度与表情；清冷→稳定眼神；阴郁→反差配色,第一眼孤傲，第二眼清冷，第三眼阴郁
PS00117,警觉,疯狂,天真,警觉、疯狂、天真,警觉→收紧动作幅度与表情；疯狂→强烈轮廓；天真→破损细节,第一眼警觉，第二眼疯狂，第三眼天真
PS00118,明亮,温雅,执拗,明亮、温雅、执拗,明亮→收紧动作幅度与表情；温雅→锐利眼型；执拗→高洁材质,第一眼明亮，第二眼温雅，第三眼执拗
PS00119,柔软,躁动,明亮,柔软、躁动、明亮,柔软→收紧动作幅度与表情；躁动→非人平静；明亮→层叠结构,第一眼柔软，第二眼躁动，第三眼明亮
PS00120,冷酷,沉静,病弱,冷酷、沉静、病弱,冷酷→收紧动作幅度与表情；沉静→稳定眼神；病弱→简洁剪影,第一眼冷酷，第二眼沉静，第三眼病弱
PS00121,克己,张扬,局促,克己、张扬、局促,克己→收紧动作幅度与表情；张扬→稳定眼神；局促→层叠结构,第一眼克己，第二眼张扬，第三眼局促
PS00122,叛逆,阴郁,聪慧,叛逆、阴郁、聪慧,叛逆→收紧动作幅度与表情；阴郁→稳定眼神；聪慧→反差配色,第一眼叛逆，第二眼阴郁，第三眼聪慧
PS00123,神秘,可靠,叛逆,神秘、可靠、叛逆,神秘→收紧动作幅度与表情；可靠→放松眼尾/嘴角；叛逆→简洁剪影,第一眼神秘，第二眼可靠，第三眼叛逆
PS00124,沧桑,神秘,明亮,沧桑、神秘、明亮,沧桑→收紧动作幅度与表情；神秘→放松眼尾/嘴角；明亮→破损细节,第一眼沧桑，第二眼神秘，第三眼明亮
PS00125,清冷,张扬,警觉,清冷、张扬、警觉,清冷→收紧动作幅度与表情；张扬→稳定眼神；警觉→层叠结构,第一眼清冷，第二眼张扬，第三眼警觉
PS00126,柔软,躁动,神秘,柔软、躁动、神秘,柔软→收紧动作幅度与表情；躁动→材质温润；神秘→简洁剪影,第一眼柔软，第二眼躁动，第三眼神秘
PS00127,凌厉,坦然,明亮,凌厉、坦然、明亮,凌厉→收紧动作幅度与表情；坦然→结构不对称；明亮→层叠结构,第一眼凌厉，第二眼坦然，第三眼明亮
PS00128,局促,叛逆,克己,局促、叛逆、克己,局促→收紧动作幅度与表情；叛逆→放松眼尾/嘴角；克己→反差配色,第一眼局促，第二眼叛逆，第三眼克己
PS00129,温润,狠戾,散漫,温润、狠戾、散漫,温润→收紧动作幅度与表情；狠戾→强烈轮廓；散漫→简洁剪影,第一眼温润，第二眼狠戾，第三眼散漫
PS00130,沉静,张扬,明亮,沉静、张扬、明亮,沉静→收紧动作幅度与表情；张扬→结构不对称；明亮→破损细节,第一眼沉静，第二眼张扬，第三眼明亮
PS00131,可靠,躁动,柔软,可靠、躁动、柔软,可靠→收紧动作幅度与表情；躁动→强烈轮廓；柔软→反差配色,第一眼可靠，第二眼躁动，第三眼柔软
PS00132,危险,通透,聪慧,危险、通透、聪慧,危险→收紧动作幅度与表情；通透→结构不对称；聪慧→高洁材质,第一眼危险，第二眼通透，第三眼聪慧
PS00133,孤傲,野性,张扬,孤傲、野性、张扬,孤傲→收紧动作幅度与表情；野性→强烈轮廓；张扬→反差配色,第一眼孤傲，第二眼野性，第三眼张扬
PS00134,凌厉,神秘,温雅,凌厉、神秘、温雅,凌厉→收紧动作幅度与表情；神秘→锐利眼型；温雅→破损细节,第一眼凌厉，第二眼神秘，第三眼温雅
PS00135,温雅,克制,亲和,温雅、克制、亲和,温雅→收紧动作幅度与表情；克制→稳定眼神；亲和→简洁剪影,第一眼温雅，第二眼克制，第三眼亲和
PS00136,孤傲,危险,躁动,孤傲、危险、躁动,孤傲→收紧动作幅度与表情；危险→锐利眼型；躁动→破损细节,第一眼孤傲，第二眼危险，第三眼躁动
PS00137,清冷,温雅,叛逆,清冷、温雅、叛逆,清冷→收紧动作幅度与表情；温雅→非人平静；叛逆→高洁材质,第一眼清冷，第二眼温雅，第三眼叛逆
PS00138,阴郁,可靠,凌厉,阴郁、可靠、凌厉,阴郁→收紧动作幅度与表情；可靠→稳定眼神；凌厉→反差配色,第一眼阴郁，第二眼可靠，第三眼凌厉
PS00139,强健,局促,沧桑,强健、局促、沧桑,强健→收紧动作幅度与表情；局促→强烈轮廓；沧桑→层叠结构,第一眼强健，第二眼局促，第三眼沧桑
PS00140,神性,野性,凌厉,神性、野性、凌厉,神性→收紧动作幅度与表情；野性→锐利眼型；凌厉→破损细节,第一眼神性，第二眼野性，第三眼凌厉
PS00141,通透,疯狂,阴郁,通透、疯狂、阴郁,通透→收紧动作幅度与表情；疯狂→非人平静；阴郁→简洁剪影,第一眼通透，第二眼疯狂，第三眼阴郁
PS00142,叛逆,危险,执拗,叛逆、危险、执拗,叛逆→收紧动作幅度与表情；危险→非人平静；执拗→层叠结构,第一眼叛逆，第二眼危险，第三眼执拗
PS00143,虔诚,慵懒,神秘,虔诚、慵懒、神秘,虔诚→收紧动作幅度与表情；慵懒→稳定眼神；神秘→高洁材质,第一眼虔诚，第二眼慵懒，第三眼神秘
PS00144,病弱,危险,孤傲,病弱、危险、孤傲,病弱→收紧动作幅度与表情；危险→放松眼尾/嘴角；孤傲→高洁材质,第一眼病弱，第二眼危险，第三眼孤傲
PS00145,放纵,慵懒,局促,放纵、慵懒、局促,放纵→收紧动作幅度与表情；慵懒→放松眼尾/嘴角；局促→破损细节,第一眼放纵，第二眼慵懒，第三眼局促
PS00146,高贵,警觉,通透,高贵、警觉、通透,高贵→收紧动作幅度与表情；警觉→非人平静；通透→简洁剪影,第一眼高贵，第二眼警觉，第三眼通透
PS00147,危险,叛逆,坚毅,危险、叛逆、坚毅,危险→收紧动作幅度与表情；叛逆→结构不对称；坚毅→层叠结构,第一眼危险，第二眼叛逆，第三眼坚毅
PS00148,悲悯,疯狂,亲和,悲悯、疯狂、亲和,悲悯→收紧动作幅度与表情；疯狂→稳定眼神；亲和→高洁材质,第一眼悲悯，第二眼疯狂，第三眼亲和
PS00149,柔软,暴烈,凌厉,柔软、暴烈、凌厉,柔软→收紧动作幅度与表情；暴烈→非人平静；凌厉→高洁材质,第一眼柔软，第二眼暴烈，第三眼凌厉
PS00150,狠戾,坦然,散漫,狠戾、坦然、散漫,狠戾→收紧动作幅度与表情；坦然→材质温润；散漫→高洁材质,第一眼狠戾，第二眼坦然，第三眼散漫
PS00151,孤傲,清冷,坚毅,孤傲、清冷、坚毅,孤傲→收紧动作幅度与表情；清冷→非人平静；坚毅→破损细节,第一眼孤傲，第二眼清冷，第三眼坚毅
PS00152,病弱,坚毅,张扬,病弱、坚毅、张扬,病弱→收紧动作幅度与表情；坚毅→结构不对称；张扬→层叠结构,第一眼病弱，第二眼坚毅，第三眼张扬
